{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 4.748854166666667, 'gimmik_best': 4.648, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 2.8556041666666663, 'gimmik_best': 2.705, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'gimmik_avg': 11.724541666666667, 'gimmik_best': 11.224, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 2.8484791666666656, 'gimmik_best': 2.726, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 4.8072291666666676, 'gimmik_best': 4.637, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'gimmik_avg': 33.27635416666667, 'gimmik_best': 32.497, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'gimmik_avg': 23.535000000000007, 'gimmik_best': 22.722, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'gimmik_avg': 56.18593750000002, 'gimmik_best': 55.697, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'gimmik_avg': 34.21641666666666, 'gimmik_best': 33.392, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'gimmik_avg': 58.48616666666668, 'gimmik_best': 57.852, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'gimmik_avg': 40.30941666666667, 'gimmik_best': 39.257, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'gimmik_avg': 23.867520833333334, 'gimmik_best': 23.52, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'gimmik_avg': 56.1808125, 'gimmik_best': 55.656, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'gimmik_avg': 34.114020833333335, 'gimmik_best': 33.124000000000024, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'gimmik_avg': 55.684208333333345, 'gimmik_best': 54.454, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt'}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'gimmik_avg': 65.71502083333336, 'gimmik_best': 65.069, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'gimmik_avg': 58.65758333333333, 'gimmik_best': 58.116, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'gimmik_avg': 142.8976458333333, 'gimmik_best': 142.038, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m6.txt'}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'gimmik_avg': 95.27518750000003, 'gimmik_best': 94.985, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m132.txt'}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'gimmik_avg': 184.11097916666665, 'gimmik_best': 183.475, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m460.txt'}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'gimmik_avg': 91.07904166666664, 'gimmik_best': 90.659, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m0.txt'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'gimmik_avg': 57.68539583333333, 'gimmik_best': 57.188, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m3.txt'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'gimmik_avg': 145.63493749999995, 'gimmik_best': 145.158, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m6.txt'}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'gimmik_avg': 96.63741666666668, 'gimmik_best': 96.259, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m132.txt'}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'gimmik_avg': 181.896875, 'gimmik_best': 181.517, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m460.txt'}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'gimmik_avg': 106.06920833333335, 'gimmik_best': 105.512, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'gimmik_avg': 145.0246458333333, 'gimmik_best': 144.315, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'gimmik_avg': 281.93712500000004, 'gimmik_best': 281.173, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m6.txt'}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'gimmik_avg': 189.90270833333338, 'gimmik_best': 189.408, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m132.txt'}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'gimmik_avg': 375.01366666666667, 'gimmik_best': 373.962, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m460.txt'}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'gimmik_avg': 167.03412499999996, 'gimmik_best': 166.196, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m0.txt'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'gimmik_avg': 126.65989583333334, 'gimmik_best': 126.078, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m3.txt'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'gimmik_avg': 279.86964583333327, 'gimmik_best': 278.693, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m6.txt'}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'gimmik_avg': 190.35839583333333, 'gimmik_best': 189.936, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m132.txt'}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0384, 'gimmik_avg': 387.6433333333335, 'gimmik_best': 386.38, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m460.txt'}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.004629629629629629, 'gimmik_avg': 165.079125, 'gimmik_best': 164.326, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'gimmik_avg': 198.37895833333334, 'gimmik_best': 197.723, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'gimmik_avg': 470.47462500000023, 'gimmik_best': 468.884, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m6.txt'}
{'a_cols': 648, 'a_nonzero': 3456, 'a_rows': 216, 'a_size': 139968, 'a_unique': 32, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'gimmik_avg': 326.9706875, 'gimmik_best': 326.31600000000003, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m132.txt'}
{'a_cols': 216, 'a_nonzero': 3456, 'a_rows': 648, 'a_size': 139968, 'a_unique': 32, 'alpha': 1.0, 'beta': 0.0, 'density': 0.024691358024691357, 'gimmik_avg': 685.6457916666668, 'gimmik_best': 683.299, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre-lobatto/m460.txt'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'gimmik_avg': 258.1496875000001, 'gimmik_best': 257.435, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m0.txt'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'gimmik_avg': 198.13131249999995, 'gimmik_best': 197.367, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m3.txt'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'density': 0.009259259259259259, 'gimmik_avg': 473.31020833333326, 'gimmik_best': 471.16999999999996, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m6.txt'}
{'a_cols': 648, 'a_nonzero': 3888, 'a_rows': 216, 'a_size': 139968, 'a_unique': 36, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'gimmik_avg': 329.3910624999999, 'gimmik_best': 328.38, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m132.txt'}
{'a_cols': 216, 'a_nonzero': 3888, 'a_rows': 648, 'a_size': 139968, 'a_unique': 36, 'alpha': 1.0, 'beta': 0.0, 'density': 0.027777777777777776, 'gimmik_avg': 703.2903541666666, 'gimmik_best': 700.871, 'mat_file': 'example_mats_med/hex/p5/gauss-legendre/m460.txt'}
{'a_cols': 343, 'a_nonzero': 294, 'a_rows': 294, 'a_size': 100842, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0029154518950437317, 'gimmik_avg': 225.4711666666667, 'gimmik_best': 224.535, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02040816326530612, 'gimmik_avg': 394.7968958333333, 'gimmik_best': 394.016, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'density': 0.006802721088435374, 'gimmik_avg': 1953.6994166666664, 'gimmik_best': 1947.702, 'mat_file': 'example_mats_med/hex/p6/gauss-legendre-lobatto/m6.txt'}
