{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 4.755375, 'gimmik_best': 4.508, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 2.6626041666666667, 'gimmik_best': 2.519, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'gimmik_avg': 15.21670833333333, 'gimmik_best': 14.235, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 2.726395833333333, 'gimmik_best': 2.55, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'gimmik_avg': 4.471666666666666, 'gimmik_best': 4.337, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'gimmik_avg': 22.317729166666663, 'gimmik_best': 21.723, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'gimmik_avg': 23.648020833333334, 'gimmik_best': 21.952, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'gimmik_avg': 56.28077083333333, 'gimmik_best': 55.399, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'gimmik_avg': 31.13325, 'gimmik_best': 29.406, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'gimmik_avg': 55.394770833333325, 'gimmik_best': 54.802, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'gimmik_avg': 34.01058333333334, 'gimmik_best': 33.507, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'gimmik_avg': 23.78295833333333, 'gimmik_best': 22.095, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'gimmik_avg': 55.825770833333344, 'gimmik_best': 55.199, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'gimmik_avg': 30.733104166666664, 'gimmik_best': 29.743, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'gimmik_avg': 55.63954166666665, 'gimmik_best': 54.572, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt'}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'gimmik_avg': 43.84897916666667, 'gimmik_best': 43.258, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'gimmik_avg': 63.83689583333333, 'gimmik_best': 63.375, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'gimmik_avg': 132.45402083333335, 'gimmik_best': 131.839, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m6.txt'}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'gimmik_avg': 91.71658333333333, 'gimmik_best': 91.027, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m132.txt'}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'gimmik_avg': 165.30197916666668, 'gimmik_best': 164.353, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m460.txt'}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'gimmik_avg': 81.16704166666666, 'gimmik_best': 80.372, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m0.txt'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'gimmik_avg': 65.213875, 'gimmik_best': 63.732, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m3.txt'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'gimmik_avg': 131.59989583333333, 'gimmik_best': 130.9, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m6.txt'}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'gimmik_avg': 95.07110416666666, 'gimmik_best': 94.66, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m132.txt'}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'gimmik_avg': 159.05745833333333, 'gimmik_best': 158.385, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m460.txt'}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'gimmik_avg': 71.70379166666666, 'gimmik_best': 71.21, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m0.txt'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'gimmik_avg': 118.3357083333333, 'gimmik_best': 117.844, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m3.txt'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'gimmik_avg': 275.60702083333337, 'gimmik_best': 274.484, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m6.txt'}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'gimmik_avg': 198.70314583333337, 'gimmik_best': 197.964, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m132.txt'}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0352, 'gimmik_avg': 330.6010208333333, 'gimmik_best': 329.435, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m460.txt'}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'gimmik_avg': 151.44087499999998, 'gimmik_best': 150.025, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m0.txt'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'gimmik_avg': 126.93504166666668, 'gimmik_best': 126.244, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre/m3.txt'}
