{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.0263761674416594, 'speedup_best': 1.0460444444444446, 'xsmm_local_avg': 5.784104166666668, 'xsmm_local_best': 5.625, 'xsmm_upstream_avg': 5.936666666666667, 'xsmm_upstream_best': 5.884}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0064736281267133, 'speedup_best': 1.0082291984151173, 'xsmm_local_avg': 3.3823125, 'xsmm_local_best': 3.281, 'xsmm_upstream_avg': 3.4042083333333335, 'xsmm_upstream_best': 3.308}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.0314003399302853, 'speedup_best': 1.035747736497034, 'xsmm_local_avg': 6.5086875, 'xsmm_local_best': 6.406, 'xsmm_upstream_avg': 6.713062499999999, 'xsmm_upstream_best': 6.635}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0075368509419518, 'speedup_best': 1.0033485540334854, 'xsmm_local_avg': 3.375083333333334, 'xsmm_local_best': 3.285, 'xsmm_upstream_avg': 3.400520833333333, 'xsmm_upstream_best': 3.296}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.0275562975194619, 'speedup_best': 1.0534807831762147, 'xsmm_local_avg': 5.740520833333331, 'xsmm_local_best': 5.516, 'xsmm_upstream_avg': 5.898708333333334, 'xsmm_upstream_best': 5.811}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.019788135398316, 'speedup_best': 1.0193772649951927, 'xsmm_local_avg': 13.587687499999996, 'xsmm_local_best': 13.521, 'xsmm_upstream_avg': 13.856562500000003, 'xsmm_upstream_best': 13.783}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.3621461831193582, 'speedup_best': 1.3573229594409626, 'xsmm_local_avg': 14.299416666666668, 'xsmm_local_best': 13.881, 'xsmm_upstream_avg': 19.47789583333334, 'xsmm_upstream_best': 18.841}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0685609211194913, 'speedup_best': 1.0779483600837403, 'xsmm_local_avg': 29.35558333333334, 'xsmm_local_best': 28.66, 'xsmm_upstream_avg': 31.368229166666662, 'xsmm_upstream_best': 30.894}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9948891182539802, 'speedup_best': 0.988904401499008, 'xsmm_local_avg': 27.59227083333333, 'xsmm_local_best': 27.218, 'xsmm_upstream_avg': 27.451250000000012, 'xsmm_upstream_best': 26.916}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0423064396162904, 'speedup_best': 1.0430580762250454, 'xsmm_local_avg': 22.323729166666666, 'xsmm_local_best': 22.04, 'xsmm_upstream_avg': 23.268166666666673, 'xsmm_upstream_best': 22.989}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0287565128101108, 'speedup_best': 1.0230363925989463, 'xsmm_local_avg': 16.433958333333337, 'xsmm_local_best': 16.322, 'xsmm_upstream_avg': 16.906541666666666, 'xsmm_upstream_best': 16.698}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 1.3799567591703166, 'speedup_best': 1.3625962437936245, 'xsmm_local_avg': 14.184125000000002, 'xsmm_local_best': 13.897, 'xsmm_upstream_avg': 19.57347916666667, 'xsmm_upstream_best': 18.936}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 1.0620603426441224, 'speedup_best': 1.0631850197560555, 'xsmm_local_avg': 29.775791666666663, 'xsmm_local_best': 29.105, 'xsmm_upstream_avg': 31.6236875, 'xsmm_upstream_best': 30.944}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.9823204636968048, 'speedup_best': 0.9739737152982885, 'xsmm_local_avg': 27.57189583333333, 'xsmm_local_best': 27.088, 'xsmm_upstream_avg': 27.084437499999996, 'xsmm_upstream_best': 26.383000000000038}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.0288768414893241, 'speedup_best': 1.0319458757112774, 'xsmm_local_avg': 22.572875, 'xsmm_local_best': 22.319, 'xsmm_upstream_avg': 23.224708333333325, 'xsmm_upstream_best': 23.032}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0254992325058607, 'speedup_best': 1.0212809554475735, 'xsmm_local_avg': 34.5958125, 'xsmm_local_best': 34.162, 'xsmm_upstream_avg': 35.477979166666664, 'xsmm_upstream_best': 34.889}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.147890790252205, 'speedup_best': 1.146218395217463, 'xsmm_local_avg': 36.86560416666668, 'xsmm_local_best': 36.466, 'xsmm_upstream_avg': 42.3176875, 'xsmm_upstream_best': 41.798}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.1276402656620061, 'speedup_best': 1.1246868281959688, 'xsmm_local_avg': 62.005479166666674, 'xsmm_local_best': 61.867, 'xsmm_upstream_avg': 69.91987499999999, 'xsmm_upstream_best': 69.581}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.2282215486647203, 'speedup_best': 1.2284733227680928, 'xsmm_local_avg': 60.740229166666666, 'xsmm_local_best': 60.576, 'xsmm_upstream_avg': 74.60245833333335, 'xsmm_upstream_best': 74.416}
