{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0379767626758536, 'speedup_best': 1.0390439888740084, 'xsmm_local_avg': 29.42643749999999, 'xsmm_local_best': 29.121, 'xsmm_upstream_avg': 30.543958333333332, 'xsmm_upstream_best': 30.258}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.282630638541231, 'speedup_best': 1.2871110888259332, 'xsmm_local_avg': 40.144562499999985, 'xsmm_local_best': 39.887, 'xsmm_upstream_avg': 51.49064583333334, 'xsmm_upstream_best': 51.339}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.2843177391952934, 'speedup_best': 1.2807423483228546, 'xsmm_local_avg': 62.84635416666665, 'xsmm_local_best': 62.666, 'xsmm_upstream_avg': 80.71468750000001, 'xsmm_upstream_best': 80.259}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.2114236591303553, 'speedup_best': 1.2063667252674481, 'xsmm_local_avg': 127.59520833333333, 'xsmm_local_best': 126.847, 'xsmm_upstream_avg': 154.57185416666667, 'xsmm_upstream_best': 153.024}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.261656573382616, 'speedup_best': 1.2463235534729087, 'xsmm_local_avg': 307.238125, 'xsmm_local_best': 305.594, 'xsmm_upstream_avg': 387.62899999999985, 'xsmm_upstream_best': 380.869}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.196820058074436, 'speedup_best': 1.1828458941032227, 'xsmm_local_avg': 709.2621666666665, 'xsmm_local_best': 703.062, 'xsmm_upstream_avg': 848.8591875000001, 'xsmm_upstream_best': 831.614}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.0431783679944813, 'speedup_best': 1.0434438040345821, 'xsmm_local_avg': 28.023291666666655, 'xsmm_local_best': 27.76, 'xsmm_upstream_avg': 29.23329166666667, 'xsmm_upstream_best': 28.966}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.2913164869265361, 'speedup_best': 1.2915040300096314, 'xsmm_local_avg': 39.70431249999999, 'xsmm_local_best': 39.454, 'xsmm_upstream_avg': 51.27083333333334, 'xsmm_upstream_best': 50.955}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 1.2814968514683458, 'speedup_best': 1.2811820597471617, 'xsmm_local_avg': 62.31079166666665, 'xsmm_local_best': 62.095, 'xsmm_upstream_avg': 79.85108333333335, 'xsmm_upstream_best': 79.555}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.2031774419486576, 'speedup_best': 1.1995377503852078, 'xsmm_local_avg': 129.2103333333333, 'xsmm_local_best': 128.502, 'xsmm_upstream_avg': 155.46295833333332, 'xsmm_upstream_best': 154.143}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.240914065483485, 'speedup_best': 1.2289910296102247, 'xsmm_local_avg': 316.2483125, 'xsmm_local_best': 314.925, 'xsmm_upstream_avg': 392.4369791666666, 'xsmm_upstream_best': 387.04}
