{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9840413466269764, 'speedup_best': 1.0624426078971534, 'xsmm_local_avg': 5.969854166666668, 'xsmm_local_best': 5.445, 'xsmm_upstream_avg': 5.874583333333334, 'xsmm_upstream_best': 5.785}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.9921650940125687, 'speedup_best': 1.0053241465706233, 'xsmm_local_avg': 3.3051875000000006, 'xsmm_local_best': 3.193, 'xsmm_upstream_avg': 3.2792916666666674, 'xsmm_upstream_best': 3.21}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9967172278256407, 'speedup_best': 0.9971120231038152, 'xsmm_local_avg': 6.657229166666666, 'xsmm_local_best': 6.579, 'xsmm_upstream_avg': 6.635375, 'xsmm_upstream_best': 6.56}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9833953099143651, 'speedup_best': 0.9897864438254411, 'xsmm_local_avg': 3.3110625000000002, 'xsmm_local_best': 3.231, 'xsmm_upstream_avg': 3.2560833333333328, 'xsmm_upstream_best': 3.198}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9984456675644887, 'speedup_best': 1.055473372781065, 'xsmm_local_avg': 5.870687500000002, 'xsmm_local_best': 5.408, 'xsmm_upstream_avg': 5.861562500000001, 'xsmm_upstream_best': 5.708}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9974793208993957, 'speedup_best': 0.9970031430450992, 'xsmm_local_avg': 13.769437499999997, 'xsmm_local_best': 13.681, 'xsmm_upstream_avg': 13.73472916666667, 'xsmm_upstream_best': 13.64}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0370264720597862, 'speedup_best': 1.017965742342242, 'xsmm_local_avg': 18.404624999999996, 'xsmm_local_best': 17.923, 'xsmm_upstream_avg': 19.086083333333338, 'xsmm_upstream_best': 18.245}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9972913387561644, 'speedup_best': 0.9914820550804659, 'xsmm_local_avg': 30.257875, 'xsmm_local_best': 29.702, 'xsmm_upstream_avg': 30.175916666666676, 'xsmm_upstream_best': 29.449}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9906002005040706, 'speedup_best': 0.995565927654609, 'xsmm_local_avg': 26.68275, 'xsmm_local_best': 25.71, 'xsmm_upstream_avg': 26.43193749999999, 'xsmm_upstream_best': 25.596}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.000292882324778, 'speedup_best': 0.9959233770218735, 'xsmm_local_avg': 22.975666666666672, 'xsmm_local_best': 22.813, 'xsmm_upstream_avg': 22.98239583333333, 'xsmm_upstream_best': 22.72}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 0.9917062669272517, 'speedup_best': 0.996684550003014, 'xsmm_local_avg': 16.79983333333333, 'xsmm_local_best': 16.589, 'xsmm_upstream_avg': 16.660500000000003, 'xsmm_upstream_best': 16.534}
