{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0103759081844292, 'speedup_best': 1.0097229621736814, 'xsmm_local_avg': 30.27445833333333, 'xsmm_local_best': 30.032, 'xsmm_upstream_avg': 30.58858333333333, 'xsmm_upstream_best': 30.324}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0134406727801153, 'speedup_best': 1.0137448901001245, 'xsmm_local_avg': 50.79420833333332, 'xsmm_local_best': 50.637, 'xsmm_upstream_avg': 51.47691666666666, 'xsmm_upstream_best': 51.333}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0471087521214162, 'speedup_best': 1.0483188275442448, 'xsmm_local_avg': 75.88779166666667, 'xsmm_local_best': 75.602, 'xsmm_upstream_avg': 79.46277083333335, 'xsmm_upstream_best': 79.255}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.1173776236639146, 'speedup_best': 1.1185901559663194, 'xsmm_local_avg': 140.4445, 'xsmm_local_best': 139.902, 'xsmm_upstream_avg': 156.92954166666667, 'xsmm_upstream_best': 156.493}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.1067849801567595, 'speedup_best': 1.0953971566042977, 'xsmm_local_avg': 350.5024375, 'xsmm_local_best': 349.371, 'xsmm_upstream_avg': 387.93083333333334, 'xsmm_upstream_best': 382.70000000000005}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0374906918434827, 'speedup_best': 1.022322937618519, 'xsmm_local_avg': 842.6469374999998, 'xsmm_local_best': 834.254, 'xsmm_upstream_avg': 874.2383541666668, 'xsmm_upstream_best': 852.877}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0102985290557949, 'speedup_best': 1.012087117617821, 'xsmm_local_avg': 44.49664583333333, 'xsmm_local_best': 44.262, 'xsmm_upstream_avg': 44.95489583333333, 'xsmm_upstream_best': 44.797}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.0394893502008575, 'speedup_best': 1.0402167628641705, 'xsmm_local_avg': 102.36304166666667, 'xsmm_local_best': 102.047, 'xsmm_upstream_avg': 106.40529166666666, 'xsmm_upstream_best': 106.151}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 0.991631907082089, 'speedup_best': 0.9915232883438755, 'xsmm_local_avg': 155.08312500000002, 'xsmm_local_best': 154.777, 'xsmm_upstream_avg': 153.78537500000002, 'xsmm_upstream_best': 153.465}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 0.9931681938431741, 'speedup_best': 0.9928748129823575, 'xsmm_local_avg': 202.73433333333332, 'xsmm_local_best': 202.521, 'xsmm_upstream_avg': 201.34929166666666, 'xsmm_upstream_best': 201.078}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 0.9939201830281483, 'speedup_best': 0.9936399970814518, 'xsmm_local_avg': 246.92012500000007, 'xsmm_local_best': 246.698, 'xsmm_upstream_avg': 245.41889583333332, 'xsmm_upstream_best': 245.129}
