{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9930034588433482, 'speedup_best': 1.0256134694608634, 'xsmm_local_avg': 5.812395833333334, 'xsmm_local_best': 5.583, 'xsmm_upstream_avg': 5.771729166666666, 'xsmm_upstream_best': 5.726}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0041996566163123, 'speedup_best': 1.0124146492861577, 'xsmm_local_avg': 3.3732916666666664, 'xsmm_local_best': 3.222, 'xsmm_upstream_avg': 3.3874583333333343, 'xsmm_upstream_best': 3.262}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.0050924815393494, 'speedup_best': 1.0058258541961895, 'xsmm_local_avg': 6.426958333333332, 'xsmm_local_best': 6.351, 'xsmm_upstream_avg': 6.4596875, 'xsmm_upstream_best': 6.388}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0483592290576167, 'speedup_best': 1.044620253164557, 'xsmm_local_avg': 3.2676458333333334, 'xsmm_local_best': 3.16, 'xsmm_upstream_avg': 3.425666666666667, 'xsmm_upstream_best': 3.301}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9862150070489395, 'speedup_best': 1.0123038516405136, 'xsmm_local_avg': 5.792833333333334, 'xsmm_local_best': 5.608, 'xsmm_upstream_avg': 5.712979166666666, 'xsmm_upstream_best': 5.677}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0078015941785856, 'speedup_best': 1.0094564408041697, 'xsmm_local_avg': 13.536229166666665, 'xsmm_local_best': 13.43, 'xsmm_upstream_avg': 13.641833333333333, 'xsmm_upstream_best': 13.557}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.6807188123798952, 'speedup_best': 0.6749145525441679, 'xsmm_local_avg': 21.259604166666666, 'xsmm_local_best': 20.773, 'xsmm_upstream_avg': 14.471812500000004, 'xsmm_upstream_best': 14.02}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9196650248084393, 'speedup_best': 0.9138433572570283, 'xsmm_local_avg': 32.30587499999999, 'xsmm_local_best': 31.907, 'xsmm_upstream_avg': 29.710583333333332, 'xsmm_upstream_best': 29.158}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.928317860054721, 'speedup_best': 0.9325369660460022, 'xsmm_local_avg': 29.589541666666662, 'xsmm_local_best': 29.216, 'xsmm_upstream_avg': 27.468499999999995, 'xsmm_upstream_best': 27.245}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0198340997527204, 'speedup_best': 1.0150156982299676, 'xsmm_local_avg': 22.14935416666667, 'xsmm_local_best': 21.977, 'xsmm_upstream_avg': 22.58866666666667, 'xsmm_upstream_best': 22.307}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.007466581738723, 'speedup_best': 1.0048923679060664, 'xsmm_local_avg': 16.484562499999996, 'xsmm_local_best': 16.352, 'xsmm_upstream_avg': 16.607645833333333, 'xsmm_upstream_best': 16.432}
