{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.026424362929282, 'speedup_best': 1.026418439716312, 'xsmm_local_avg': 28.499583333333344, 'xsmm_local_best': 28.2, 'xsmm_upstream_avg': 29.25266666666666, 'xsmm_upstream_best': 28.945}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.012691322973188, 'speedup_best': 1.0117318020939041, 'xsmm_local_avg': 40.71022916666667, 'xsmm_local_best': 40.403, 'xsmm_upstream_avg': 41.22689583333334, 'xsmm_upstream_best': 40.877}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9308980387481556, 'speedup_best': 0.9306077413967914, 'xsmm_local_avg': 67.27739583333334, 'xsmm_local_best': 67.068, 'xsmm_upstream_avg': 62.62839583333334, 'xsmm_upstream_best': 62.414}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 0.9841032621884972, 'speedup_best': 0.9853971329222364, 'xsmm_local_avg': 139.49927083333333, 'xsmm_local_best': 138.32899999999995, 'xsmm_upstream_avg': 137.2816875, 'xsmm_upstream_best': 136.309}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.1256769557124138, 'speedup_best': 1.118757979352195, 'xsmm_local_avg': 318.1215000000001, 'xsmm_local_best': 317.225, 'xsmm_upstream_avg': 358.1020416666667, 'xsmm_upstream_best': 354.898}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.079507284109924, 'speedup_best': 1.0508928068108228, 'xsmm_local_avg': 734.2280625, 'xsmm_local_best': 727.313, 'xsmm_upstream_avg': 792.6045416666666, 'xsmm_upstream_best': 764.328}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 0.9918922305352759, 'speedup_best': 0.9956501831501832, 'xsmm_local_avg': 44.39414583333334, 'xsmm_local_best': 43.68, 'xsmm_upstream_avg': 44.03420833333333, 'xsmm_upstream_best': 43.49}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 0.9735479216643108, 'speedup_best': 0.9745205760788643, 'xsmm_local_avg': 78.14445833333333, 'xsmm_local_best': 77.906, 'xsmm_upstream_avg': 76.077375, 'xsmm_upstream_best': 75.921}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.0101597264575002, 'speedup_best': 1.0143501120569913, 'xsmm_local_avg': 118.05600000000004, 'xsmm_local_best': 117.351, 'xsmm_upstream_avg': 119.25541666666669, 'xsmm_upstream_best': 119.035}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 1.0285423449081217, 'speedup_best': 1.0283194355355998, 'xsmm_local_avg': 156.42475, 'xsmm_local_best': 155.9, 'xsmm_upstream_avg': 160.8894791666667, 'xsmm_upstream_best': 160.315}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 1.0127025917372874, 'speedup_best': 1.0101796650038528, 'xsmm_local_avg': 198.04685416666675, 'xsmm_local_best': 197.256, 'xsmm_upstream_avg': 200.5625625, 'xsmm_upstream_best': 199.264}
