{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 0.998281974209536, 'speedup_best': 0.9981265611990008, 'xsmm_local_avg': 29.05466666666666, 'xsmm_local_best': 28.824, 'xsmm_upstream_avg': 29.00474999999999, 'xsmm_upstream_best': 28.77}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0297250638355195, 'speedup_best': 1.0267949072097637, 'xsmm_local_avg': 40.05247916666668, 'xsmm_local_best': 39.821, 'xsmm_upstream_avg': 41.24304166666666, 'xsmm_upstream_best': 40.888}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0174538729569684, 'speedup_best': 1.016205783991632, 'xsmm_local_avg': 68.04125, 'xsmm_local_best': 67.877, 'xsmm_upstream_avg': 69.22883333333333, 'xsmm_upstream_best': 68.977}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0107174154258887, 'speedup_best': 1.01230923290005, 'xsmm_local_avg': 154.50514583333333, 'xsmm_local_best': 153.787, 'xsmm_upstream_avg': 156.16104166666668, 'xsmm_upstream_best': 155.68}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.098087134734568, 'speedup_best': 1.0956462172230754, 'xsmm_local_avg': 321.1434583333333, 'xsmm_local_best': 319.699, 'xsmm_upstream_avg': 352.6435000000001, 'xsmm_upstream_best': 350.277}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats_small/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0270809700335035, 'speedup_best': 1.003947375343965, 'xsmm_local_avg': 774.0067708333336, 'xsmm_local_best': 760.252, 'xsmm_upstream_avg': 794.9676249999999, 'xsmm_upstream_best': 763.2529999999999}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0092991856257663, 'speedup_best': 1.011335977643559, 'xsmm_local_avg': 44.93225, 'xsmm_local_best': 44.372, 'xsmm_upstream_avg': 45.35008333333334, 'xsmm_upstream_best': 44.875}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 0.989331020161397, 'speedup_best': 0.9882405007270659, 'xsmm_local_avg': 79.25624999999998, 'xsmm_local_best': 79.085, 'xsmm_upstream_avg': 78.4106666666667, 'xsmm_upstream_best': 78.155}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 0.986164718824765, 'speedup_best': 0.9866481574962139, 'xsmm_local_avg': 119.83704166666666, 'xsmm_local_best': 118.86000000000001, 'xsmm_upstream_avg': 118.17906249999997, 'xsmm_upstream_best': 117.273}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 0.9800550651165709, 'speedup_best': 0.9788089148702959, 'xsmm_local_avg': 159.44002083333336, 'xsmm_local_best': 158.746, 'xsmm_upstream_avg': 156.25999999999996, 'xsmm_upstream_best': 155.382}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'speedup_avg': 0.98328513625008, 'speedup_best': 0.982852920904263, 'xsmm_local_avg': 202.40966666666665, 'xsmm_local_best': 201.667, 'xsmm_upstream_avg': 199.0264166666666, 'xsmm_upstream_best': 198.209}
{'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'speedup_avg': 0.9822792803906782, 'speedup_best': 0.9827983188158617, 'xsmm_local_avg': 246.89554166666667, 'xsmm_local_best': 246.255, 'xsmm_upstream_avg': 242.52037500000006, 'xsmm_upstream_best': 242.019}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0224974301146357, 'speedup_best': 1.0223053937400017, 'xsmm_local_avg': 66.4548125, 'xsmm_local_best': 66.262, 'xsmm_upstream_avg': 67.94987499999998, 'xsmm_upstream_best': 67.74}
{'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'speedup_avg': 0.987100844208738, 'speedup_best': 0.9875856121456439, 'xsmm_local_avg': 100.36025000000002, 'xsmm_local_best': 99.72299999999996, 'xsmm_upstream_avg': 99.06568750000002, 'xsmm_upstream_best': 98.485}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.02496337890625, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.025_uniq_16.txt', 'speedup_avg': 1.0019983869522362, 'speedup_best': 1.0005809796210225, 'xsmm_local_avg': 67.41895833333332, 'xsmm_local_best': 67.128, 'xsmm_upstream_avg': 67.55368750000001, 'xsmm_upstream_best': 67.167}
{'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'speedup_avg': 0.990211594189317, 'speedup_best': 0.9935572570442363, 'xsmm_local_avg': 137.83952083333338, 'xsmm_local_best': 136.743, 'xsmm_upstream_avg': 136.49029166666662, 'xsmm_upstream_best': 135.862}
{'a_cols': 128, 'a_nonzero': 1228, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.074951171875, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.075_uniq_16.txt', 'speedup_avg': 0.9921505352133759, 'speedup_best': 0.9931989106969, 'xsmm_local_avg': 71.24689583333334, 'xsmm_local_best': 70.871, 'xsmm_upstream_avg': 70.68764583333332, 'xsmm_upstream_best': 70.389}
{'a_cols': 128, 'a_nonzero': 2048, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.125, 'mat_file': 'synth_mats_small/vary_density/q_16/r_128_c_128_p_0.125_uniq_16.txt', 'speedup_avg': 0.9922265258305282, 'speedup_best': 0.993672856666296, 'xsmm_local_avg': 90.34731249999997, 'xsmm_local_best': 89.93, 'xsmm_upstream_avg': 89.64500000000002, 'xsmm_upstream_best': 89.361}
{'a_cols': 128, 'a_nonzero': 204, 'a_rows': 32, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_32_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0010910748709578, 'speedup_best': 1.0012115538177713, 'xsmm_local_avg': 36.60381250000001, 'xsmm_local_best': 36.317, 'xsmm_upstream_avg': 36.64375000000001, 'xsmm_upstream_best': 36.361}
{'a_cols': 128, 'a_nonzero': 409, 'a_rows': 64, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats_small/vary_row/q_16/r_64_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9927631731786564, 'speedup_best': 0.9939316694567037, 'xsmm_local_avg': 52.90935416666665, 'xsmm_local_best': 52.568, 'xsmm_upstream_avg': 52.52645833333335, 'xsmm_upstream_best': 52.249}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0211962561886905, 'speedup_best': 1.0196843866339098, 'xsmm_local_avg': 66.48972916666666, 'xsmm_local_best': 66.347, 'xsmm_upstream_avg': 67.89906249999997, 'xsmm_upstream_best': 67.653}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 256, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_256_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9935108406298102, 'speedup_best': 0.9955129667655336, 'xsmm_local_avg': 105.68266666666663, 'xsmm_local_best': 105.192, 'xsmm_upstream_avg': 104.99687499999999, 'xsmm_upstream_best': 104.72}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 512, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_row/q_16/r_512_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9889171463188484, 'speedup_best': 0.9893975315174147, 'xsmm_local_avg': 196.9164166666667, 'xsmm_local_best': 196.558, 'xsmm_upstream_avg': 194.73402083333335, 'xsmm_upstream_best': 194.474}
{'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 1024, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats_small/vary_row/q_16/r_1024_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.994395280108493, 'speedup_best': 0.9933785663856473, 'xsmm_local_avg': 385.6162083333333, 'xsmm_local_best': 385.264, 'xsmm_upstream_avg': 383.45493749999997, 'xsmm_upstream_best': 382.713}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_unique/r_128_c_128_p_0.05_uniq_8.txt', 'speedup_avg': 1.0233170734447086, 'speedup_best': 1.0233434413186415, 'xsmm_local_avg': 66.76706250000002, 'xsmm_local_best': 66.614, 'xsmm_upstream_avg': 68.32387499999997, 'xsmm_upstream_best': 68.169}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_unique/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0297886004003223, 'speedup_best': 1.0293006247143075, 'xsmm_local_avg': 65.79068750000002, 'xsmm_local_best': 65.63, 'xsmm_upstream_avg': 67.7505, 'xsmm_upstream_best': 67.553}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats_small/vary_unique/r_128_c_128_p_0.05_uniq_24.txt', 'speedup_avg': 1.015020315172839, 'speedup_best': 1.014549593195835, 'xsmm_local_avg': 65.18116666666668, 'xsmm_local_best': 65.019, 'xsmm_upstream_avg': 66.16020833333336, 'xsmm_upstream_best': 65.965}
Average speedup (best) of local over upstream 1.0049972671127634
Average speedup (iqr avg) of local over upstream 1.0058498486810148
