{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9976833386150297, 'speedup_best': 1.0270630836668573, 'xsmm_local_avg': 5.719437500000001, 'xsmm_local_best': 5.247, 'xsmm_upstream_avg': 5.7061874999999995, 'xsmm_upstream_best': 5.389}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.9819088032127476, 'speedup_best': 0.9855165754747344, 'xsmm_local_avg': 3.2059791666666655, 'xsmm_local_best': 3.107, 'xsmm_upstream_avg': 3.1479791666666674, 'xsmm_upstream_best': 3.062}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9938587278372716, 'speedup_best': 1.0190212973500243, 'xsmm_local_avg': 6.3674374999999985, 'xsmm_local_best': 6.151, 'xsmm_upstream_avg': 6.328333333333336, 'xsmm_upstream_best': 6.268}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9858093040141064, 'speedup_best': 0.9741296710316193, 'xsmm_local_avg': 3.2136666666666667, 'xsmm_local_best': 3.131, 'xsmm_upstream_avg': 3.1680625, 'xsmm_upstream_best': 3.05}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9985139250724692, 'speedup_best': 1.0140898705255141, 'xsmm_local_avg': 5.677708333333334, 'xsmm_local_best': 5.252, 'xsmm_upstream_avg': 5.669270833333335, 'xsmm_upstream_best': 5.326}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9860489328474752, 'speedup_best': 0.9880404100430843, 'xsmm_local_avg': 13.607083333333335, 'xsmm_local_best': 13.462, 'xsmm_upstream_avg': 13.417250000000001, 'xsmm_upstream_best': 13.301}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9891694378948722, 'speedup_best': 0.9868982776387457, 'xsmm_local_avg': 13.951645833333332, 'xsmm_local_best': 13.586, 'xsmm_upstream_avg': 13.800541666666668, 'xsmm_upstream_best': 13.408}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0074714515257466, 'speedup_best': 1.004307276092838, 'xsmm_local_avg': 29.10802083333333, 'xsmm_local_best': 28.092, 'xsmm_upstream_avg': 29.3255, 'xsmm_upstream_best': 28.213}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.026155266635231, 'speedup_best': 1.009666771455517, 'xsmm_local_avg': 26.3769375, 'xsmm_local_best': 25.448, 'xsmm_upstream_avg': 27.066833333333324, 'xsmm_upstream_best': 25.694}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 0.9896555697211602, 'speedup_best': 0.9893748004924987, 'xsmm_local_avg': 22.240229166666666, 'xsmm_local_best': 21.929, 'xsmm_upstream_avg': 22.010166666666663, 'xsmm_upstream_best': 21.696}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 0.9991138257353768, 'speedup_best': 0.9994997498749374, 'xsmm_local_avg': 16.174395833333328, 'xsmm_local_best': 15.992, 'xsmm_upstream_avg': 16.1600625, 'xsmm_upstream_best': 15.984}
