{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9890890484676327, 'speedup_best': 0.9818027210884354, 'xsmm_local_avg': 5.903854166666666, 'xsmm_local_best': 5.88, 'xsmm_upstream_avg': 5.839437500000002, 'xsmm_upstream_best': 5.773}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0305661498535663, 'speedup_best': 1.016201620162016, 'xsmm_local_avg': 3.4358541666666675, 'xsmm_local_best': 3.333, 'xsmm_upstream_avg': 3.540875000000001, 'xsmm_upstream_best': 3.387}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.4462142959443554, 'speedup_best': 1.4411407766990292, 'xsmm_local_avg': 6.691291666666667, 'xsmm_local_best': 6.592, 'xsmm_upstream_avg': 9.677041666666666, 'xsmm_upstream_best': 9.5}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0884514114261217, 'speedup_best': 1.0379708383961117, 'xsmm_local_avg': 3.402291666666667, 'xsmm_local_best': 3.292, 'xsmm_upstream_avg': 3.703229166666666, 'xsmm_upstream_best': 3.417}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9935471539161305, 'speedup_best': 1.001038961038961, 'xsmm_local_avg': 5.885645833333334, 'xsmm_local_best': 5.775, 'xsmm_upstream_avg': 5.847666666666666, 'xsmm_upstream_best': 5.781}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.7868449277521226, 'speedup_best': 1.785298137092714, 'xsmm_local_avg': 13.985416666666666, 'xsmm_local_best': 13.903, 'xsmm_upstream_avg': 24.989770833333328, 'xsmm_upstream_best': 24.821}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.125107448802612, 'speedup_best': 1.156109624993691, 'xsmm_local_avg': 20.528187499999998, 'xsmm_local_best': 19.813, 'xsmm_upstream_avg': 23.096416666666666, 'xsmm_upstream_best': 22.906}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.6664217405268644, 'speedup_best': 1.6620613341764157, 'xsmm_local_avg': 31.783958333333327, 'xsmm_local_best': 31.63, 'xsmm_upstream_avg': 52.96547916666666, 'xsmm_upstream_best': 52.571000000000026}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.510519411071094, 'speedup_best': 1.5303926249678628, 'xsmm_local_avg': 27.933479166666668, 'xsmm_local_best': 27.227, 'xsmm_upstream_avg': 42.19406250000001, 'xsmm_upstream_best': 41.668}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.4847761353469804, 'speedup_best': 1.4867971822464239, 'xsmm_local_avg': 23.402812499999996, 'xsmm_local_best': 23.139, 'xsmm_upstream_avg': 34.7479375, 'xsmm_upstream_best': 34.403}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.46126725696605, 'speedup_best': 1.4573951173263804, 'xsmm_local_avg': 17.041729166666666, 'xsmm_local_best': 16.876, 'xsmm_upstream_avg': 24.90252083333333, 'xsmm_upstream_best': 24.595}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 1.1343583101391856, 'speedup_best': 1.142980451891343, 'xsmm_local_avg': 20.202354166666662, 'xsmm_local_best': 19.695, 'xsmm_upstream_avg': 22.916708333333332, 'xsmm_upstream_best': 22.511}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 1.676850662624706, 'speedup_best': 1.6977327544621321, 'xsmm_local_avg': 31.695291666666673, 'xsmm_local_best': 31.095, 'xsmm_upstream_avg': 53.14827083333333, 'xsmm_upstream_best': 52.791}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 1.5261105864537547, 'speedup_best': 1.5345502432600506, 'xsmm_local_avg': 27.817979166666664, 'xsmm_local_best': 27.337, 'xsmm_upstream_avg': 42.453312499999996, 'xsmm_upstream_best': 41.95}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.4874905075631637, 'speedup_best': 1.4846528046838006, 'xsmm_local_avg': 23.346437499999997, 'xsmm_local_best': 23.229, 'xsmm_upstream_avg': 34.72760416666667, 'xsmm_upstream_best': 34.487}
