{'a_cols': 60, 'a_nonzero': 1092, 'a_rows': 20, 'a_size': 1200, 'a_unique': 200, 'alpha': 1.0, 'beta': 0.0, 'density': 0.91, 'mat_file': 'example_mats_large/tet/p3/shunn-ham/m132.txt', 'speedup_avg': 0.9699198670231044, 'speedup_best': 0.9735921861811166, 'xsmm_local_avg': 25.468083333333325, 'xsmm_local_best': 24.879, 'xsmm_upstream_avg': 24.702, 'xsmm_upstream_best': 24.222}
{'a_cols': 20, 'a_nonzero': 1092, 'a_rows': 60, 'a_size': 1200, 'a_unique': 200, 'alpha': 1.0, 'beta': 0.0, 'density': 0.91, 'mat_file': 'example_mats_large/tet/p3/shunn-ham/m460.txt', 'speedup_avg': 0.9911268906704105, 'speedup_best': 0.9884037558685446, 'xsmm_local_avg': 21.605541666666667, 'xsmm_local_best': 21.3, 'xsmm_upstream_avg': 21.413833333333333, 'xsmm_upstream_best': 21.053}
{'a_cols': 60, 'a_nonzero': 2100, 'a_rows': 35, 'a_size': 2100, 'a_unique': 202, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'example_mats_large/tet/p4/shunn-ham/m3.txt', 'speedup_avg': 1.003104281223495, 'speedup_best': 1.0013063728274452, 'xsmm_local_avg': 35.5423125, 'xsmm_local_best': 35.212, 'xsmm_upstream_avg': 35.65264583333334, 'xsmm_upstream_best': 35.258}
{'a_cols': 60, 'a_nonzero': 3150, 'a_rows': 105, 'a_size': 6300, 'a_unique': 202, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_large/tet/p4/shunn-ham/m6.txt', 'speedup_avg': 0.9945666765641924, 'speedup_best': 0.9893581194854179, 'xsmm_local_avg': 74.72406249999999, 'xsmm_local_best': 74.235, 'xsmm_upstream_avg': 74.31806249999998, 'xsmm_upstream_best': 73.445}
{'a_cols': 105, 'a_nonzero': 3432, 'a_rows': 35, 'a_size': 3675, 'a_unique': 608, 'alpha': 1.0, 'beta': 0.0, 'density': 0.9338775510204081, 'mat_file': 'example_mats_large/tet/p4/shunn-ham/m132.txt', 'speedup_avg': 0.9979568799513738, 'speedup_best': 0.9711924012357852, 'xsmm_local_avg': 61.18093749999999, 'xsmm_local_best': 60.852, 'xsmm_upstream_avg': 61.0559375, 'xsmm_upstream_best': 59.099}
{'a_cols': 35, 'a_nonzero': 3432, 'a_rows': 105, 'a_size': 3675, 'a_unique': 608, 'alpha': 1.0, 'beta': 0.0, 'density': 0.9338775510204081, 'mat_file': 'example_mats_large/tet/p4/shunn-ham/m460.txt', 'speedup_avg': 0.9986733504534301, 'speedup_best': 0.9898576087821176, 'xsmm_local_avg': 50.565979166666665, 'xsmm_local_best': 50.284, 'xsmm_upstream_avg': 50.49889583333334, 'xsmm_upstream_best': 49.774}
{'a_cols': 56, 'a_nonzero': 4704, 'a_rows': 84, 'a_size': 4704, 'a_unique': 214, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'example_mats_large/tet/p5/shunn-ham/m0.txt', 'speedup_avg': 1.0037471254890928, 'speedup_best': 0.9945115067303517, 'xsmm_local_avg': 58.11677083333331, 'xsmm_local_best': 57.575, 'xsmm_upstream_avg': 58.33454166666666, 'xsmm_upstream_best': 57.259}
{'a_cols': 84, 'a_nonzero': 4704, 'a_rows': 56, 'a_size': 4704, 'a_unique': 428, 'alpha': 1.0, 'beta': 0.0, 'density': 1.0, 'mat_file': 'example_mats_large/tet/p5/shunn-ham/m3.txt', 'speedup_avg': 0.995372369474356, 'speedup_best': 0.9819566960705693, 'xsmm_local_avg': 63.05872916666666, 'xsmm_local_best': 62.35, 'xsmm_upstream_avg': 62.766916666666674, 'xsmm_upstream_best': 61.225}
{'a_cols': 84, 'a_nonzero': 7056, 'a_rows': 168, 'a_size': 14112, 'a_unique': 428, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'example_mats_large/tet/p5/shunn-ham/m6.txt', 'speedup_avg': 0.9971883928970724, 'speedup_best': 0.9854859953155514, 'xsmm_local_avg': 154.6639166666666, 'xsmm_local_best': 154.127, 'xsmm_upstream_avg': 154.2290625, 'xsmm_upstream_best': 151.89}
{'a_cols': 168, 'a_nonzero': 8976, 'a_rows': 56, 'a_size': 9408, 'a_unique': 1568, 'alpha': 1.0, 'beta': 0.0, 'density': 0.9540816326530612, 'mat_file': 'example_mats_large/tet/p5/shunn-ham/m132.txt', 'speedup_avg': 0.9828189795805213, 'speedup_best': 0.977805643542109, 'xsmm_local_avg': 142.77624999999998, 'xsmm_local_best': 137.96299999999997, 'xsmm_upstream_avg': 140.32320833333338, 'xsmm_upstream_best': 134.90099999999995}
{'a_cols': 56, 'a_nonzero': 8976, 'a_rows': 168, 'a_size': 9408, 'a_unique': 1568, 'alpha': 1.0, 'beta': 0.0, 'density': 0.9540816326530612, 'mat_file': 'example_mats_large/tet/p5/shunn-ham/m460.txt', 'speedup_avg': 0.9996261073047772, 'speedup_best': 0.98804598114701, 'xsmm_local_avg': 111.6073333333333, 'xsmm_local_best': 111.176, 'xsmm_upstream_avg': 111.56560416666667, 'xsmm_upstream_best': 109.847}
