{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'b_num_col': 1398101, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.009692634733253, 'speedup_best': 1.0101869909372492, 'xsmm_local_avg': 43.66072916666667, 'xsmm_local_best': 43.585, 'xsmm_upstream_avg': 44.08391666666666, 'xsmm_upstream_best': 44.029}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'b_num_col': 1398101, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.983780047415067, 'speedup_best': 1.0128397410103522, 'xsmm_local_avg': 28.75316666666667, 'xsmm_local_best': 27.337, 'xsmm_upstream_avg': 28.28679166666666, 'xsmm_upstream_best': 27.688}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'b_num_col': 1398101, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.028649486338624, 'speedup_best': 1.0192209489960578, 'xsmm_local_avg': 57.55047916666666, 'xsmm_local_best': 48.957, 'xsmm_upstream_avg': 59.199270833333344, 'xsmm_upstream_best': 49.898}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'b_num_col': 1398101, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0239194314967215, 'speedup_best': 0.9933241419345475, 'xsmm_local_avg': 27.74243750000001, 'xsmm_local_best': 27.562, 'xsmm_upstream_avg': 28.406020833333333, 'xsmm_upstream_best': 27.378}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'b_num_col': 1398101, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.0078826214192265, 'speedup_best': 1.008055235903337, 'xsmm_local_avg': 43.51872916666665, 'xsmm_local_best': 43.45, 'xsmm_upstream_avg': 43.86177083333333, 'xsmm_upstream_best': 43.8}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'b_num_col': 621378, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0056802066909023, 'speedup_best': 1.0130053524655507, 'xsmm_local_avg': 48.333041666666674, 'xsmm_local_best': 43.905, 'xsmm_upstream_avg': 48.60758333333334, 'xsmm_upstream_best': 44.476}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'b_num_col': 621378, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0100486688296546, 'speedup_best': 1.010962967493349, 'xsmm_local_avg': 65.69485416666669, 'xsmm_local_best': 65.402, 'xsmm_upstream_avg': 66.35499999999998, 'xsmm_upstream_best': 66.119}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'b_num_col': 414252, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9965822415164662, 'speedup_best': 0.9963645695222617, 'xsmm_local_avg': 70.343375, 'xsmm_local_best': 70.143, 'xsmm_upstream_avg': 70.10295833333335, 'xsmm_upstream_best': 69.888}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'b_num_col': 414252, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9985171579430732, 'speedup_best': 1.0000953955736454, 'xsmm_local_avg': 63.335583333333325, 'xsmm_local_best': 62.896, 'xsmm_upstream_avg': 63.24166666666667, 'xsmm_upstream_best': 62.902}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'b_num_col': 414252, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0051901623350032, 'speedup_best': 0.9919396956930469, 'xsmm_local_avg': 58.50812500000001, 'xsmm_local_best': 57.442, 'xsmm_upstream_avg': 58.81179166666667, 'xsmm_upstream_best': 56.979}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'b_num_col': 621378, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.022111443855914, 'speedup_best': 1.023411034037748, 'xsmm_local_avg': 49.71972916666667, 'xsmm_local_best': 49.592, 'xsmm_upstream_avg': 50.81910416666667, 'xsmm_upstream_best': 50.753}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'b_num_col': 621378, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 0.9934216131481601, 'speedup_best': 0.9931825690002103, 'xsmm_local_avg': 66.75585416666667, 'xsmm_local_best': 66.594, 'xsmm_upstream_avg': 66.31670833333332, 'xsmm_upstream_best': 66.14}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'b_num_col': 414252, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 1.0178085945865505, 'speedup_best': 1.0196470245040838, 'xsmm_local_avg': 68.87475, 'xsmm_local_best': 68.56, 'xsmm_upstream_avg': 70.10131250000002, 'xsmm_upstream_best': 69.907}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'b_num_col': 414252, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.9839613244431465, 'speedup_best': 0.9857606090511771, 'xsmm_local_avg': 64.20937500000001, 'xsmm_local_best': 63.837, 'xsmm_upstream_avg': 63.17954166666667, 'xsmm_upstream_best': 62.928}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'b_num_col': 414252, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.0101178708175882, 'speedup_best': 1.0009069661980667, 'xsmm_local_avg': 58.27354166666666, 'xsmm_local_best': 57.334, 'xsmm_upstream_avg': 58.86314583333334, 'xsmm_upstream_best': 57.38599999999997}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'b_num_col': 349525, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0130531967333747, 'speedup_best': 1.0128581584397118, 'xsmm_local_avg': 64.83245833333334, 'xsmm_local_best': 64.706, 'xsmm_upstream_avg': 65.67872916666666, 'xsmm_upstream_best': 65.538}
