{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.0033243263083196, 'speedup_best': 1.040174672489083, 'xsmm_local_avg': 5.959854166666669, 'xsmm_local_best': 5.725, 'xsmm_upstream_avg': 5.979666666666668, 'xsmm_upstream_best': 5.955}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0148066888389722, 'speedup_best': 1.0105593607305936, 'xsmm_local_avg': 3.5893124999999997, 'xsmm_local_best': 3.504, 'xsmm_upstream_avg': 3.6424583333333334, 'xsmm_upstream_best': 3.541}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9485007445966431, 'speedup_best': 0.9962869448982624, 'xsmm_local_avg': 7.764270833333334, 'xsmm_local_best': 6.733, 'xsmm_upstream_avg': 7.364416666666666, 'xsmm_upstream_best': 6.708}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0096933762880704, 'speedup_best': 1.0002828854314003, 'xsmm_local_avg': 3.64725, 'xsmm_local_best': 3.535, 'xsmm_upstream_avg': 3.6826041666666653, 'xsmm_upstream_best': 3.536}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9999719330744163, 'speedup_best': 1.0166580800274772, 'xsmm_local_avg': 5.938187499999998, 'xsmm_local_best': 5.823, 'xsmm_upstream_avg': 5.938020833333334, 'xsmm_upstream_best': 5.92}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9819608410270128, 'speedup_best': 1.0052136133236784, 'xsmm_local_avg': 15.270020833333334, 'xsmm_local_best': 13.81, 'xsmm_upstream_avg': 14.994562500000006, 'xsmm_upstream_best': 13.882}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9954533414418556, 'speedup_best': 0.9944993968636912, 'xsmm_local_avg': 20.999854166666665, 'xsmm_local_best': 20.725, 'xsmm_upstream_avg': 20.904375000000005, 'xsmm_upstream_best': 20.611}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0194530842429883, 'speedup_best': 1.0228164789226792, 'xsmm_local_avg': 31.54812500000001, 'xsmm_local_best': 31.337, 'xsmm_upstream_avg': 32.161833333333334, 'xsmm_upstream_best': 32.052}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9904955347935996, 'speedup_best': 0.9854749751635778, 'xsmm_local_avg': 29.396270833333336, 'xsmm_local_best': 29.191, 'xsmm_upstream_avg': 29.116874999999997, 'xsmm_upstream_best': 28.767}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0087707969958042, 'speedup_best': 0.9965778166470208, 'xsmm_local_avg': 26.77920833333333, 'xsmm_local_best': 26.299, 'xsmm_upstream_avg': 27.014083333333343, 'xsmm_upstream_best': 26.209}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.00824017083281, 'speedup_best': 1.0085908852802514, 'xsmm_local_avg': 19.902500000000007, 'xsmm_local_best': 19.09, 'xsmm_upstream_avg': 20.066500000000005, 'xsmm_upstream_best': 19.254}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 0.9969367043707883, 'speedup_best': 0.9920099516769534, 'xsmm_local_avg': 21.14416666666666, 'xsmm_local_best': 20.901, 'xsmm_upstream_avg': 21.079395833333336, 'xsmm_upstream_best': 20.734}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 1.018058133480754, 'speedup_best': 1.0149012908124526, 'xsmm_local_avg': 31.73085416666667, 'xsmm_local_best': 31.608, 'xsmm_upstream_avg': 32.303854166666675, 'xsmm_upstream_best': 32.079}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 1.0085600581225127, 'speedup_best': 1.0106643356643357, 'xsmm_local_avg': 28.818437500000005, 'xsmm_local_best': 28.6, 'xsmm_upstream_avg': 29.065125000000005, 'xsmm_upstream_best': 28.905}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.006495395958438, 'speedup_best': 1.0040964600401916, 'xsmm_local_avg': 26.849145833333314, 'xsmm_local_best': 25.876, 'xsmm_upstream_avg': 27.02354166666666, 'xsmm_upstream_best': 25.982}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0096096579570752, 'speedup_best': 1.0097750063200472, 'xsmm_local_avg': 35.7149375, 'xsmm_local_best': 35.601, 'xsmm_upstream_avg': 36.05814583333332, 'xsmm_upstream_best': 35.949}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.001641066712075, 'speedup_best': 1.001260636621494, 'xsmm_local_avg': 44.53404166666667, 'xsmm_local_best': 44.422, 'xsmm_upstream_avg': 44.607124999999996, 'xsmm_upstream_best': 44.478}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0414124817322201, 'speedup_best': 1.0395717282789554, 'xsmm_local_avg': 69.26756250000001, 'xsmm_local_best': 69.115, 'xsmm_upstream_avg': 72.13610416666667, 'xsmm_upstream_best': 71.85}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0882898195514257, 'speedup_best': 1.0620355370413226, 'xsmm_local_avg': 79.86693750000002, 'xsmm_local_best': 77.778, 'xsmm_upstream_avg': 86.91837500000001, 'xsmm_upstream_best': 82.603}
