{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.000868203209163, 'speedup_best': 0.9943172033752368, 'xsmm_local_avg': 5.878999999999999, 'xsmm_local_best': 5.807, 'xsmm_upstream_avg': 5.884104166666667, 'xsmm_upstream_best': 5.774}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0028346238938053, 'speedup_best': 0.9996912627354122, 'xsmm_local_avg': 3.3146666666666658, 'xsmm_local_best': 3.239, 'xsmm_upstream_avg': 3.324062499999999, 'xsmm_upstream_best': 3.238}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9996499770781448, 'speedup_best': 0.99578567128236, 'xsmm_local_avg': 6.7257500000000014, 'xsmm_local_best': 6.644, 'xsmm_upstream_avg': 6.723395833333334, 'xsmm_upstream_best': 6.616}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0157370212504977, 'speedup_best': 0.9978645515558267, 'xsmm_local_avg': 3.396979166666668, 'xsmm_local_best': 3.278, 'xsmm_upstream_avg': 3.450437499999999, 'xsmm_upstream_best': 3.271}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.0004268153881173, 'speedup_best': 1.0386120996441282, 'xsmm_local_avg': 5.857333333333333, 'xsmm_local_best': 5.62, 'xsmm_upstream_avg': 5.859833333333332, 'xsmm_upstream_best': 5.837}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.99669022556391, 'speedup_best': 0.994178431087178, 'xsmm_local_avg': 13.854166666666664, 'xsmm_local_best': 13.742, 'xsmm_upstream_avg': 13.8083125, 'xsmm_upstream_best': 13.662}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9933536544890753, 'speedup_best': 1.0021260763261401, 'xsmm_local_avg': 19.77277083333333, 'xsmm_local_best': 18.814, 'xsmm_upstream_avg': 19.641354166666662, 'xsmm_upstream_best': 18.854}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9961524896811917, 'speedup_best': 0.9895124436992471, 'xsmm_local_avg': 31.24856250000001, 'xsmm_local_best': 30.417, 'xsmm_upstream_avg': 31.128333333333334, 'xsmm_upstream_best': 30.098}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9971818040252345, 'speedup_best': 1.0019934554481513, 'xsmm_local_avg': 27.425937500000003, 'xsmm_local_best': 26.587, 'xsmm_upstream_avg': 27.348645833333332, 'xsmm_upstream_best': 26.64}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0111348908617948, 'speedup_best': 1.0098619329388536, 'xsmm_local_avg': 23.041312499999993, 'xsmm_local_best': 22.815000000000055, 'xsmm_upstream_avg': 23.297875, 'xsmm_upstream_best': 23.04}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 0.9961357323994687, 'speedup_best': 0.9973622684491337, 'xsmm_local_avg': 16.907041666666668, 'xsmm_local_best': 16.681, 'xsmm_upstream_avg': 16.841708333333337, 'xsmm_upstream_best': 16.637}
