{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9984154600283028, 'speedup_best': 0.9671768707482994, 'xsmm_local_avg': 5.903395833333334, 'xsmm_local_best': 5.88, 'xsmm_upstream_avg': 5.894041666666666, 'xsmm_upstream_best': 5.687}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.014660251498059, 'speedup_best': 1.0246105919003117, 'xsmm_local_avg': 3.3167916666666666, 'xsmm_local_best': 3.21, 'xsmm_upstream_avg': 3.365416666666666, 'xsmm_upstream_best': 3.289}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9872765201267094, 'speedup_best': 0.9890225563909774, 'xsmm_local_avg': 6.741145833333333, 'xsmm_local_best': 6.65, 'xsmm_upstream_avg': 6.655375, 'xsmm_upstream_best': 6.577}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9885689933945833, 'speedup_best': 0.9959714905484971, 'xsmm_local_avg': 3.324291666666666, 'xsmm_local_best': 3.227, 'xsmm_upstream_avg': 3.2862916666666675, 'xsmm_upstream_best': 3.214}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_small/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.0013605055539168, 'speedup_best': 1.0217623974313235, 'xsmm_local_avg': 5.864854166666668, 'xsmm_local_best': 5.606, 'xsmm_upstream_avg': 5.87283333333333, 'xsmm_upstream_best': 5.728}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9911306511224778, 'speedup_best': 0.9929134427652035, 'xsmm_local_avg': 13.9173125, 'xsmm_local_best': 13.829, 'xsmm_upstream_avg': 13.793874999999998, 'xsmm_upstream_best': 13.731}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0032924574379014, 'speedup_best': 0.9978973474229028, 'xsmm_local_avg': 19.109333333333332, 'xsmm_local_best': 18.548, 'xsmm_upstream_avg': 19.172250000000002, 'xsmm_upstream_best': 18.509}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.000280294805762, 'speedup_best': 0.9951840612217971, 'xsmm_local_avg': 31.068479166666663, 'xsmm_local_best': 30.316, 'xsmm_upstream_avg': 31.077187500000008, 'xsmm_upstream_best': 30.17}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9909961529016951, 'speedup_best': 0.9817337340462902, 'xsmm_local_avg': 26.470166666666657, 'xsmm_local_best': 25.621, 'xsmm_upstream_avg': 26.23183333333334, 'xsmm_upstream_best': 25.153}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0000135907850856, 'speedup_best': 0.9978493679775281, 'xsmm_local_avg': 22.993520833333324, 'xsmm_local_best': 22.784, 'xsmm_upstream_avg': 22.99383333333333, 'xsmm_upstream_best': 22.735}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_small/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0077840173965034, 'speedup_best': 1.0010279978230634, 'xsmm_local_avg': 16.7945625, 'xsmm_local_best': 16.537, 'xsmm_upstream_avg': 16.925291666666663, 'xsmm_upstream_best': 16.554}
