{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.007127923103993, 'speedup_best': 1.0071706205602466, 'xsmm_local_avg': 30.192291666666673, 'xsmm_local_best': 29.844, 'xsmm_upstream_avg': 30.4075, 'xsmm_upstream_best': 30.058}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 0.9970405226075486, 'speedup_best': 0.9997628552231138, 'xsmm_local_avg': 51.163312499999996, 'xsmm_local_best': 50.602, 'xsmm_upstream_avg': 51.01189583333332, 'xsmm_upstream_best': 50.59}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0394862470926445, 'speedup_best': 1.0420787150726754, 'xsmm_local_avg': 75.91197916666665, 'xsmm_local_best': 75.335, 'xsmm_upstream_avg': 78.90945833333333, 'xsmm_upstream_best': 78.505}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.057999271972168, 'speedup_best': 1.058997309392788, 'xsmm_local_avg': 149.54785416666667, 'xsmm_local_best': 147.922, 'xsmm_upstream_avg': 158.2215208333333, 'xsmm_upstream_best': 156.649}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.056434995249386, 'speedup_best': 1.0485586145035535, 'xsmm_local_avg': 364.7116458333333, 'xsmm_local_best': 362.325, 'xsmm_upstream_avg': 385.2941458333333, 'xsmm_upstream_best': 379.919}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 0.29574930480985784, 'speedup_best': 0.297496247453066, 'xsmm_local_avg': 2946.5709583333332, 'xsmm_local_best': 2855.3940000000002, 'xsmm_upstream_avg': 871.4463124999999, 'xsmm_upstream_best': 849.469}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.9613812195807392, 'speedup_best': 1.973825668411622, 'xsmm_local_avg': 28.837437499999993, 'xsmm_local_best': 28.463, 'xsmm_upstream_avg': 56.561208333333326, 'xsmm_upstream_best': 56.181}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.8351745237365724, 'speedup_best': 1.8504152339586977, 'xsmm_local_avg': 50.520229166666674, 'xsmm_local_best': 49.731, 'xsmm_upstream_avg': 92.71343750000001, 'xsmm_upstream_best': 92.023}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 2.298476909497248, 'speedup_best': 2.2693245814550425, 'xsmm_local_avg': 78.76118750000002, 'xsmm_local_best': 78.307, 'xsmm_upstream_avg': 181.03077083333335, 'xsmm_upstream_best': 177.704}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 3.7181059371500993, 'speedup_best': 3.70237298807603, 'xsmm_local_avg': 153.6146666666667, 'xsmm_local_best': 152.466, 'xsmm_upstream_avg': 571.1556041666669, 'xsmm_upstream_best': 564.486}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 3.9887161956131214, 'speedup_best': 3.9448166583420887, 'xsmm_local_avg': 349.5385833333334, 'xsmm_local_best': 348.366, 'xsmm_upstream_avg': 1394.2102083333336, 'xsmm_upstream_best': 1374.24}
