{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0120361752080353, 'speedup_best': 1.0131242428321443, 'xsmm_local_avg': 29.99291666666666, 'xsmm_local_best': 29.716, 'xsmm_upstream_avg': 30.353916666666663, 'xsmm_upstream_best': 30.106}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0112602997581952, 'speedup_best': 1.012394891321593, 'xsmm_local_avg': 50.557416666666676, 'xsmm_local_best': 50.424, 'xsmm_upstream_avg': 51.12670833333332, 'xsmm_upstream_best': 51.049}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0373928957201075, 'speedup_best': 1.037652489284537, 'xsmm_local_avg': 75.95304166666668, 'xsmm_local_best': 75.825, 'xsmm_upstream_avg': 78.79314583333333, 'xsmm_upstream_best': 78.68}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0609109855741923, 'speedup_best': 1.062226093207803, 'xsmm_local_avg': 145.60420833333333, 'xsmm_local_best': 144.666, 'xsmm_upstream_avg': 154.4731041666667, 'xsmm_upstream_best': 153.668}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.1204061699419776, 'speedup_best': 1.1195775620836215, 'xsmm_local_avg': 342.08587499999993, 'xsmm_local_best': 341.63599999999997, 'xsmm_upstream_avg': 383.27512500000006, 'xsmm_upstream_best': 382.48800000000006}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0504730504755193, 'speedup_best': 1.0416426033741037, 'xsmm_local_avg': 835.2856875000002, 'xsmm_local_best': 832.873, 'xsmm_upstream_avg': 877.4451041666666, 'xsmm_upstream_best': 867.556}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.9799773508606238, 'speedup_best': 1.9837173471531622, 'xsmm_local_avg': 28.80904166666667, 'xsmm_local_best': 28.558, 'xsmm_upstream_avg': 57.04125, 'xsmm_upstream_best': 56.651}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.8555231629924298, 'speedup_best': 1.8226080694525015, 'xsmm_local_avg': 50.10866666666667, 'xsmm_local_best': 49.991, 'xsmm_upstream_avg': 92.97779166666668, 'xsmm_upstream_best': 91.114}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 2.329200989353694, 'speedup_best': 2.297239668139877, 'xsmm_local_avg': 77.49166666666666, 'xsmm_local_best': 77.382, 'xsmm_upstream_avg': 180.49366666666666, 'xsmm_upstream_best': 177.765}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 3.660834626704428, 'speedup_best': 3.637708506302362, 'xsmm_local_avg': 146.40627083333337, 'xsmm_local_best': 145.739, 'xsmm_upstream_avg': 535.9691458333333, 'xsmm_upstream_best': 530.156}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 3.7492266921169466, 'speedup_best': 3.729258626618636, 'xsmm_local_avg': 356.9487083333333, 'xsmm_local_best': 354.774, 'xsmm_upstream_avg': 1338.2816249999998, 'xsmm_upstream_best': 1323.0439999999999}
