{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.001357650046306, 'speedup_best': 1.0025246574881341, 'xsmm_local_avg': 30.07647916666666, 'xsmm_local_best': 29.707, 'xsmm_upstream_avg': 30.117312500000008, 'xsmm_upstream_best': 29.782}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 0.9936936571926339, 'speedup_best': 0.9929442457062672, 'xsmm_local_avg': 51.41979166666666, 'xsmm_local_best': 50.597, 'xsmm_upstream_avg': 51.09552083333332, 'xsmm_upstream_best': 50.24}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.019766466967618, 'speedup_best': 1.0066463295904462, 'xsmm_local_avg': 77.45335416666667, 'xsmm_local_best': 77.035, 'xsmm_upstream_avg': 78.98433333333331, 'xsmm_upstream_best': 77.54700000000003}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0197779613333897, 'speedup_best': 1.0041580338643994, 'xsmm_local_avg': 141.1672291666666, 'xsmm_local_best': 139.97, 'xsmm_upstream_avg': 143.9592291666667, 'xsmm_upstream_best': 140.552}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.0816420744400164, 'speedup_best': 1.070197386313213, 'xsmm_local_avg': 351.09756250000004, 'xsmm_local_best': 349.315, 'xsmm_upstream_avg': 379.7618958333333, 'xsmm_upstream_best': 373.836}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 0.9973068903498471, 'speedup_best': 0.9943035240685459, 'xsmm_local_avg': 847.5951458333333, 'xsmm_local_best': 828.758, 'xsmm_upstream_avg': 845.3124791666668, 'xsmm_upstream_best': 824.037}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.982021551898426, 'speedup_best': 2.0062815400359955, 'xsmm_local_avg': 28.852833333333336, 'xsmm_local_best': 28.337, 'xsmm_upstream_avg': 57.18693749999998, 'xsmm_upstream_best': 56.852}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.8271415809640534, 'speedup_best': 1.8330441719014856, 'xsmm_local_avg': 50.79337499999999, 'xsmm_local_best': 50.145, 'xsmm_upstream_avg': 92.80668750000001, 'xsmm_upstream_best': 91.918}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 2.2597908131159814, 'speedup_best': 2.2484636200399586, 'xsmm_local_avg': 79.58991666666667, 'xsmm_local_best': 79.082, 'xsmm_upstream_avg': 179.85656249999988, 'xsmm_upstream_best': 177.813}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 3.5485629076136025, 'speedup_best': 3.52485781197725, 'xsmm_local_avg': 150.58110416666668, 'xsmm_local_best': 149.45, 'xsmm_upstream_avg': 534.3465208333334, 'xsmm_upstream_best': 526.79}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 3.800667202796702, 'speedup_best': 3.8007481389189057, 'xsmm_local_avg': 353.8217083333332, 'xsmm_local_best': 350.73699999999997, 'xsmm_upstream_avg': 1344.7585625000002, 'xsmm_upstream_best': 1333.063}
