{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9971269628899374, 'speedup_best': 1.0436402341671103, 'xsmm_local_avg': 5.917083333333333, 'xsmm_local_best': 5.637, 'xsmm_upstream_avg': 5.900083333333334, 'xsmm_upstream_best': 5.883}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.9976045812383817, 'speedup_best': 1.027689369828135, 'xsmm_local_avg': 3.3397083333333324, 'xsmm_local_best': 3.142, 'xsmm_upstream_avg': 3.331708333333333, 'xsmm_upstream_best': 3.229}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9967372446658653, 'speedup_best': 0.9951256664127951, 'xsmm_local_avg': 6.640604166666667, 'xsmm_local_best': 6.565, 'xsmm_upstream_avg': 6.618937499999999, 'xsmm_upstream_best': 6.533}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9998557052874604, 'speedup_best': 1.027592768791627, 'xsmm_local_avg': 3.32075, 'xsmm_local_best': 3.153, 'xsmm_upstream_avg': 3.3202708333333337, 'xsmm_upstream_best': 3.24}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.0068902486915665, 'speedup_best': 1.0350152630633866, 'xsmm_local_avg': 5.835541666666668, 'xsmm_local_best': 5.569, 'xsmm_upstream_avg': 5.875749999999999, 'xsmm_upstream_best': 5.764}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9986228097697536, 'speedup_best': 0.9975087924970693, 'xsmm_local_avg': 13.811333333333337, 'xsmm_local_best': 13.648, 'xsmm_upstream_avg': 13.792312499999994, 'xsmm_upstream_best': 13.614}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.0043890771291337, 'speedup_best': 1.0019431100555944, 'xsmm_local_avg': 19.318791666666666, 'xsmm_local_best': 18.527, 'xsmm_upstream_avg': 19.403583333333334, 'xsmm_upstream_best': 18.563}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.992812782916913, 'speedup_best': 0.9966035097066365, 'xsmm_local_avg': 31.1809375, 'xsmm_local_best': 30.031, 'xsmm_upstream_avg': 30.956833333333332, 'xsmm_upstream_best': 29.929}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0224235224235223, 'speedup_best': 1.0584092954109776, 'xsmm_local_avg': 26.935999999999996, 'xsmm_local_best': 25.561, 'xsmm_upstream_avg': 27.539999999999992, 'xsmm_upstream_best': 27.054}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 0.9884585174538206, 'speedup_best': 0.985007108698462, 'xsmm_local_avg': 23.393874999999998, 'xsmm_local_best': 23.211, 'xsmm_upstream_avg': 23.123874999999995, 'xsmm_upstream_best': 22.863}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 0.9756786665034363, 'speedup_best': 0.9764128911723494, 'xsmm_local_avg': 17.357875, 'xsmm_local_best': 17.128, 'xsmm_upstream_avg': 16.935708333333334, 'xsmm_upstream_best': 16.724}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 0.9771882069987364, 'speedup_best': 0.9841924040066777, 'xsmm_local_avg': 19.85358333333333, 'xsmm_local_best': 19.168, 'xsmm_upstream_avg': 19.400687499999993, 'xsmm_upstream_best': 18.865}
