{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 0.9955703052908764, 'speedup_best': 0.9948112895763104, 'xsmm_local_avg': 30.546687500000004, 'xsmm_local_best': 30.258, 'xsmm_upstream_avg': 30.411375000000003, 'xsmm_upstream_best': 30.101}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 0.9898695777952781, 'speedup_best': 0.9908515946850278, 'xsmm_local_avg': 51.850833333333334, 'xsmm_local_best': 51.703, 'xsmm_upstream_avg': 51.3255625, 'xsmm_upstream_best': 51.23}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0392740165821701, 'speedup_best': 1.0389023469042225, 'xsmm_local_avg': 77.09083333333335, 'xsmm_local_best': 76.782, 'xsmm_upstream_avg': 80.1185, 'xsmm_upstream_best': 79.769}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.1026844797801285, 'speedup_best': 1.0997805849647444, 'xsmm_local_avg': 141.6886875, 'xsmm_local_best': 140.829, 'xsmm_upstream_avg': 156.23791666666668, 'xsmm_upstream_best': 154.881}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.1125811218595296, 'speedup_best': 1.1045291234785661, 'xsmm_local_avg': 354.06802083333326, 'xsmm_local_best': 353.203, 'xsmm_upstream_avg': 393.9293958333332, 'xsmm_upstream_best': 390.123}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0378176657176867, 'speedup_best': 1.0144452705335607, 'xsmm_local_avg': 844.4444166666664, 'xsmm_local_best': 836.606, 'xsmm_upstream_avg': 876.3793333333334, 'xsmm_upstream_best': 848.691}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.0053223726350196, 'speedup_best': 1.0089260711285355, 'xsmm_local_avg': 29.012750000000008, 'xsmm_local_best': 28.568, 'xsmm_upstream_avg': 29.167166666666674, 'xsmm_upstream_best': 28.823}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.0102280704853273, 'speedup_best': 1.0119775941522327, 'xsmm_local_avg': 50.71622916666666, 'xsmm_local_best': 50.344, 'xsmm_upstream_avg': 51.23495833333334, 'xsmm_upstream_best': 50.947}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 1.0302156766246344, 'speedup_best': 1.034246396490495, 'xsmm_local_avg': 77.1708958333333, 'xsmm_local_best': 76.592, 'xsmm_upstream_avg': 79.50266666666666, 'xsmm_upstream_best': 79.215}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.004716616014837, 'speedup_best': 1.0025894188982378, 'xsmm_local_avg': 155.8364791666667, 'xsmm_local_best': 154.861, 'xsmm_upstream_avg': 156.57150000000001, 'xsmm_upstream_best': 155.262}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.064331629977883, 'speedup_best': 1.0640668150253372, 'xsmm_local_avg': 374.20420833333327, 'xsmm_local_best': 372.97, 'xsmm_upstream_avg': 398.27737499999995, 'xsmm_upstream_best': 396.865}
