{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.0028586415819696, 'speedup_best': 1.0343834383438346, 'xsmm_local_avg': 5.917729166666667, 'xsmm_local_best': 5.555, 'xsmm_upstream_avg': 5.934645833333334, 'xsmm_upstream_best': 5.746}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.9983426698304751, 'speedup_best': 1.0072815533980584, 'xsmm_local_avg': 3.4065833333333337, 'xsmm_local_best': 3.296, 'xsmm_upstream_avg': 3.4009375, 'xsmm_upstream_best': 3.32}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.0066799117688472, 'speedup_best': 1.0099055166107893, 'xsmm_local_avg': 6.658645833333332, 'xsmm_local_best': 6.562, 'xsmm_upstream_avg': 6.703125, 'xsmm_upstream_best': 6.627}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9844055288388833, 'speedup_best': 0.983645554564377, 'xsmm_local_avg': 3.4440624999999994, 'xsmm_local_best': 3.363, 'xsmm_upstream_avg': 3.390354166666666, 'xsmm_upstream_best': 3.308}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.0026481544673829, 'speedup_best': 1.0714686623012162, 'xsmm_local_avg': 5.861000000000001, 'xsmm_local_best': 5.345, 'xsmm_upstream_avg': 5.876520833333331, 'xsmm_upstream_best': 5.727}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.003408913354407, 'speedup_best': 1.013394171327642, 'xsmm_local_avg': 13.86683333333333, 'xsmm_local_best': 13.588, 'xsmm_upstream_avg': 13.914104166666668, 'xsmm_upstream_best': 13.77}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9975448107363177, 'speedup_best': 1.0046331625422436, 'xsmm_local_avg': 19.16858333333333, 'xsmm_local_best': 18.346, 'xsmm_upstream_avg': 19.12152083333333, 'xsmm_upstream_best': 18.431}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0120601566163117, 'speedup_best': 1.001352555009402, 'xsmm_local_avg': 30.924833333333336, 'xsmm_local_best': 30.313, 'xsmm_upstream_avg': 31.29779166666667, 'xsmm_upstream_best': 30.354}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9928441288133111, 'speedup_best': 1.001285735894721, 'xsmm_local_avg': 27.305666666666667, 'xsmm_local_best': 26.444, 'xsmm_upstream_avg': 27.110270833333335, 'xsmm_upstream_best': 26.478}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0099954452492166, 'speedup_best': 1.0052768166089965, 'xsmm_local_avg': 23.327291666666667, 'xsmm_local_best': 23.12, 'xsmm_upstream_avg': 23.56045833333334, 'xsmm_upstream_best': 23.242}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0162846745234138, 'speedup_best': 1.016325808923204, 'xsmm_local_avg': 17.288749999999997, 'xsmm_local_best': 16.967, 'xsmm_upstream_avg': 17.570291666666666, 'xsmm_upstream_best': 17.244}
