{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.005499839350592, 'speedup_best': 1.0055546316314652, 'xsmm_local_avg': 30.345583333333337, 'xsmm_local_best': 30.065, 'xsmm_upstream_avg': 30.512479166666676, 'xsmm_upstream_best': 30.232}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.008753729544811, 'speedup_best': 1.0048429473353986, 'xsmm_local_avg': 51.349541666666674, 'xsmm_local_best': 51.002, 'xsmm_upstream_avg': 51.799041666666675, 'xsmm_upstream_best': 51.249}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9987030836091373, 'speedup_best': 0.9956819089456869, 'xsmm_local_avg': 80.41510416666667, 'xsmm_local_best': 80.128, 'xsmm_upstream_avg': 80.31081249999998, 'xsmm_upstream_best': 79.782}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0431217904139491, 'speedup_best': 1.0446848541862652, 'xsmm_local_avg': 158.9557916666666, 'xsmm_local_best': 157.324, 'xsmm_upstream_avg': 165.81024999999997, 'xsmm_upstream_best': 164.354}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.0101992458329507, 'speedup_best': 1.0117894002171934, 'xsmm_local_avg': 387.46941666666675, 'xsmm_local_best': 383.98900000000003, 'xsmm_upstream_avg': 391.4213125000001, 'xsmm_upstream_best': 388.51599999999996}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 0.9957609604138092, 'speedup_best': 0.9880940011184495, 'xsmm_local_avg': 881.5332083333334, 'xsmm_local_best': 856.543, 'xsmm_upstream_avg': 877.7963541666667, 'xsmm_upstream_best': 846.345}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.007447862090576, 'speedup_best': 1.0014282728349475, 'xsmm_local_avg': 28.987624999999994, 'xsmm_local_best': 28.706, 'xsmm_upstream_avg': 29.20352083333333, 'xsmm_upstream_best': 28.747}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.0176745330816648, 'speedup_best': 1.0232474391805377, 'xsmm_local_avg': 50.617791666666676, 'xsmm_local_best': 49.984, 'xsmm_upstream_avg': 51.5124375, 'xsmm_upstream_best': 51.146}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 1.0141664682604192, 'speedup_best': 1.0129045317679208, 'xsmm_local_avg': 79.45258333333335, 'xsmm_local_best': 79.042, 'xsmm_upstream_avg': 80.57814583333332, 'xsmm_upstream_best': 80.062}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.1032547276061648, 'speedup_best': 1.1029777585114542, 'xsmm_local_avg': 150.8504375, 'xsmm_local_best': 149.945, 'xsmm_upstream_avg': 166.4264583333333, 'xsmm_upstream_best': 165.386}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.082851104181257, 'speedup_best': 1.076629624404184, 'xsmm_local_avg': 362.6820000000001, 'xsmm_local_best': 361.479, 'xsmm_upstream_avg': 392.73060416666675, 'xsmm_upstream_best': 389.179}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'speedup_avg': 1.0626740500345175, 'speedup_best': 1.034761518808698, 'xsmm_local_avg': 812.5432291666666, 'xsmm_local_best': 810.609, 'xsmm_upstream_avg': 863.4686041666668, 'xsmm_upstream_best': 838.787}
{'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'speedup_avg': 1.0100364696750925, 'speedup_best': 1.0073096400174149, 'xsmm_local_avg': 44.18054166666666, 'xsmm_local_best': 43.641, 'xsmm_upstream_avg': 44.62395833333333, 'xsmm_upstream_best': 43.96}
{'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'speedup_avg': 1.0666560491029407, 'speedup_best': 1.0650859440407654, 'xsmm_local_avg': 97.06139583333335, 'xsmm_local_best': 96.749, 'xsmm_upstream_avg': 103.53112499999997, 'xsmm_upstream_best': 103.046}
{'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'speedup_avg': 1.0424091763909107, 'speedup_best': 1.037662320240395, 'xsmm_local_avg': 149.3760833333333, 'xsmm_local_best': 149.088, 'xsmm_upstream_avg': 155.711, 'xsmm_upstream_best': 154.703}
{'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'speedup_avg': 0.9974535320583846, 'speedup_best': 0.9893372474873122, 'xsmm_local_avg': 201.25097916666664, 'xsmm_local_best': 200.98, 'xsmm_upstream_avg': 200.73850000000002, 'xsmm_upstream_best': 198.837}
