{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9912616115024059, 'speedup_best': 1.0376737381126555, 'xsmm_local_avg': 5.862541666666666, 'xsmm_local_best': 5.468, 'xsmm_upstream_avg': 5.8113125, 'xsmm_upstream_best': 5.674}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.050337413437198, 'speedup_best': 1.0365239294710327, 'xsmm_local_avg': 3.3002291666666665, 'xsmm_local_best': 3.176, 'xsmm_upstream_avg': 3.4663541666666666, 'xsmm_upstream_best': 3.292}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.0007442178141903, 'speedup_best': 0.999062939247228, 'xsmm_local_avg': 6.466520833333334, 'xsmm_local_best': 6.403, 'xsmm_upstream_avg': 6.471333333333334, 'xsmm_upstream_best': 6.397}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.005266939489551, 'speedup_best': 1.0065522620904837, 'xsmm_local_avg': 3.334479166666665, 'xsmm_local_best': 3.205, 'xsmm_upstream_avg': 3.352041666666667, 'xsmm_upstream_best': 3.226}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9889996094323866, 'speedup_best': 1.0488124181784177, 'xsmm_local_avg': 5.8141875, 'xsmm_local_best': 5.347, 'xsmm_upstream_avg': 5.7502291666666645, 'xsmm_upstream_best': 5.608}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.993212383321159, 'speedup_best': 0.996520580396802, 'xsmm_local_avg': 13.661520833333334, 'xsmm_local_best': 13.508, 'xsmm_upstream_avg': 13.568791666666668, 'xsmm_upstream_best': 13.461}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.6278471425042503, 'speedup_best': 0.6374711290249536, 'xsmm_local_avg': 22.939666666666668, 'xsmm_local_best': 22.081, 'xsmm_upstream_avg': 14.402604166666668, 'xsmm_upstream_best': 14.076}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9049105535608292, 'speedup_best': 0.8919441141498216, 'xsmm_local_avg': 34.257, 'xsmm_local_best': 33.64, 'xsmm_upstream_avg': 30.999520833333325, 'xsmm_upstream_best': 30.005}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9633305511729525, 'speedup_best': 0.9726692292657503, 'xsmm_local_avg': 31.400458333333347, 'xsmm_local_best': 30.698, 'xsmm_upstream_avg': 30.249020833333343, 'xsmm_upstream_best': 29.859}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.041522549715077, 'speedup_best': 1.0329920364050056, 'xsmm_local_avg': 22.231895833333336, 'xsmm_local_best': 21.975, 'xsmm_upstream_avg': 23.155020833333335, 'xsmm_upstream_best': 22.7}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0184337169669169, 'speedup_best': 1.001935874168179, 'xsmm_local_avg': 16.619229166666674, 'xsmm_local_best': 16.53, 'xsmm_upstream_avg': 16.925583333333336, 'xsmm_upstream_best': 16.562}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 0.6189869390769318, 'speedup_best': 0.6138579687634825, 'xsmm_local_avg': 23.640812499999996, 'xsmm_local_best': 23.178, 'xsmm_upstream_avg': 14.633354166666665, 'xsmm_upstream_best': 14.228}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 0.9100889083924956, 'speedup_best': 0.9109165656147408, 'xsmm_local_avg': 34.656458333333326, 'xsmm_local_best': 33.811, 'xsmm_upstream_avg': 31.540458333333333, 'xsmm_upstream_best': 30.799}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.9752341261934279, 'speedup_best': 0.9745611129513083, 'xsmm_local_avg': 30.843854166666656, 'xsmm_local_best': 30.19, 'xsmm_upstream_avg': 30.079979166666675, 'xsmm_upstream_best': 29.422}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.0313569383988188, 'speedup_best': 1.015395696407671, 'xsmm_local_avg': 22.336895833333333, 'xsmm_local_best': 22.214, 'xsmm_upstream_avg': 23.0373125, 'xsmm_upstream_best': 22.556}
