{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0309994079210942, 'speedup_best': 1.0308416999037273, 'xsmm_local_avg': 29.380937499999998, 'xsmm_local_best': 29.084, 'xsmm_upstream_avg': 30.29172916666667, 'xsmm_upstream_best': 29.981}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 0.9879179713795361, 'speedup_best': 0.9850432572461997, 'xsmm_local_avg': 41.22341666666666, 'xsmm_local_best': 40.918, 'xsmm_upstream_avg': 40.72535416666668, 'xsmm_upstream_best': 40.306}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9094339883128197, 'speedup_best': 0.911626036553235, 'xsmm_local_avg': 72.43335416666666, 'xsmm_local_best': 72.114, 'xsmm_upstream_avg': 65.87335416666666, 'xsmm_upstream_best': 65.741}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 0.9714392084640351, 'speedup_best': 0.9706082577114495, 'xsmm_local_avg': 152.48833333333332, 'xsmm_local_best': 151.301, 'xsmm_upstream_avg': 148.13314583333326, 'xsmm_upstream_best': 146.854}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.083861326935553, 'speedup_best': 1.0719845281317482, 'xsmm_local_avg': 339.49274999999994, 'xsmm_local_best': 337.12800000000004, 'xsmm_upstream_avg': 367.9630624999999, 'xsmm_upstream_best': 361.396}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 0.9757443899908401, 'speedup_best': 0.9512718859521475, 'xsmm_local_avg': 827.4245624999999, 'xsmm_local_best': 817.762, 'xsmm_upstream_avg': 807.3548750000001, 'xsmm_upstream_best': 777.914}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.0326511047280578, 'speedup_best': 1.0259791029923946, 'xsmm_local_avg': 28.33747916666667, 'xsmm_local_best': 28.138, 'xsmm_upstream_avg': 29.26272916666666, 'xsmm_upstream_best': 28.869}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 0.9972443865028139, 'speedup_best': 0.9947100509032837, 'xsmm_local_avg': 40.33433333333333, 'xsmm_local_best': 40.076, 'xsmm_upstream_avg': 40.223187499999995, 'xsmm_upstream_best': 39.864}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 0.9405299653839497, 'speedup_best': 0.9430778730309166, 'xsmm_local_avg': 69.95189583333332, 'xsmm_local_best': 69.639, 'xsmm_upstream_avg': 65.79185416666665, 'xsmm_upstream_best': 65.675}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.0266105093340128, 'speedup_best': 1.0257388635792704, 'xsmm_local_avg': 148.35304166666666, 'xsmm_local_best': 147.287, 'xsmm_upstream_avg': 152.30079166666667, 'xsmm_upstream_best': 151.078}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.0967123592262527, 'speedup_best': 1.0767733627024223, 'xsmm_local_avg': 345.73614583333324, 'xsmm_local_best': 343.218, 'xsmm_upstream_avg': 379.17310416666663, 'xsmm_upstream_best': 369.568}
