{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9881577704133232, 'speedup_best': 1.0109603340292275, 'xsmm_local_avg': 5.953270833333335, 'xsmm_local_best': 5.748, 'xsmm_upstream_avg': 5.882770833333335, 'xsmm_upstream_best': 5.811}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0114075048720852, 'speedup_best': 1.0148883374689825, 'xsmm_local_avg': 3.3567083333333314, 'xsmm_local_best': 3.224, 'xsmm_upstream_avg': 3.395, 'xsmm_upstream_best': 3.272}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.0047194112820643, 'speedup_best': 1.0043223217042299, 'xsmm_local_avg': 6.550958333333334, 'xsmm_local_best': 6.478, 'xsmm_upstream_avg': 6.581875000000001, 'xsmm_upstream_best': 6.506}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0401959741454285, 'speedup_best': 1.0283312577833126, 'xsmm_local_avg': 3.3295208333333335, 'xsmm_local_best': 3.212, 'xsmm_upstream_avg': 3.4633541666666656, 'xsmm_upstream_best': 3.303}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9894042446553554, 'speedup_best': 1.027031802120147, 'xsmm_local_avg': 5.902520833333333, 'xsmm_local_best': 5.659999999999968, 'xsmm_upstream_avg': 5.839979166666665, 'xsmm_upstream_best': 5.813}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9980874137167878, 'speedup_best': 0.9941317104977178, 'xsmm_local_avg': 13.931833333333335, 'xsmm_local_best': 13.803, 'xsmm_upstream_avg': 13.905187500000004, 'xsmm_upstream_best': 13.722}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.6369568731095019, 'speedup_best': 0.6519406752918901, 'xsmm_local_avg': 23.458874999999995, 'xsmm_local_best': 22.183, 'xsmm_upstream_avg': 14.942291666666664, 'xsmm_upstream_best': 14.462}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.8872017849120107, 'speedup_best': 0.8783099075372857, 'xsmm_local_avg': 35.56664583333335, 'xsmm_local_best': 34.933, 'xsmm_upstream_avg': 31.554791666666674, 'xsmm_upstream_best': 30.682}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9727728805163354, 'speedup_best': 0.9674938045122461, 'xsmm_local_avg': 31.626708333333344, 'xsmm_local_best': 31.071, 'xsmm_upstream_avg': 30.765604166666666, 'xsmm_upstream_best': 30.061}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0158527769243284, 'speedup_best': 1.0021446078431373, 'xsmm_local_avg': 23.05458333333333, 'xsmm_local_best': 22.848, 'xsmm_upstream_avg': 23.420062500000004, 'xsmm_upstream_best': 22.897}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0106853818142596, 'speedup_best': 1.0022610972271808, 'xsmm_local_avg': 16.997520833333333, 'xsmm_local_best': 16.806, 'xsmm_upstream_avg': 17.17914583333333, 'xsmm_upstream_best': 16.844}
