{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0230958925333398, 'speedup_best': 1.0161502282473371, 'xsmm_local_avg': 29.04466666666667, 'xsmm_local_best': 28.916, 'xsmm_upstream_avg': 29.71547916666668, 'xsmm_upstream_best': 29.383}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.025171477034934, 'speedup_best': 1.0244290894834853, 'xsmm_local_avg': 40.99795833333332, 'xsmm_local_best': 40.812, 'xsmm_upstream_avg': 42.02993750000001, 'xsmm_upstream_best': 41.809}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9259295925951562, 'speedup_best': 0.9249822661667415, 'xsmm_local_avg': 69.23395833333333, 'xsmm_local_best': 69.077, 'xsmm_upstream_avg': 64.10577083333335, 'xsmm_upstream_best': 63.895}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 0.9760876367626147, 'speedup_best': 0.9780133382069973, 'xsmm_local_avg': 145.67516666666663, 'xsmm_local_best': 144.997, 'xsmm_upstream_avg': 142.19172916666665, 'xsmm_upstream_best': 141.809}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.137849837257523, 'speedup_best': 1.1196631438259534, 'xsmm_local_avg': 324.49016666666677, 'xsmm_local_best': 323.224, 'xsmm_upstream_avg': 369.2210833333333, 'xsmm_upstream_best': 361.902}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0049343867187732, 'speedup_best': 0.9746158652436147, 'xsmm_local_avg': 791.13175, 'xsmm_local_best': 784.23, 'xsmm_upstream_avg': 795.0354999999998, 'xsmm_upstream_best': 764.323}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.0353969643744971, 'speedup_best': 1.0283008519507113, 'xsmm_local_avg': 27.53002083333334, 'xsmm_local_best': 27.349, 'xsmm_upstream_avg': 28.504500000000004, 'xsmm_upstream_best': 28.123}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.0240386757905964, 'speedup_best': 1.023641714271583, 'xsmm_local_avg': 40.6714375, 'xsmm_local_best': 40.437, 'xsmm_upstream_avg': 41.649125000000005, 'xsmm_upstream_best': 41.393}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 0.9419590856539012, 'speedup_best': 0.9402186866881183, 'xsmm_local_avg': 67.26756250000001, 'xsmm_local_best': 67.128, 'xsmm_upstream_avg': 63.36329166666666, 'xsmm_upstream_best': 63.115}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.0022480052543394, 'speedup_best': 1.0033014611763553, 'xsmm_local_avg': 143.6273333333333, 'xsmm_local_best': 142.967, 'xsmm_upstream_avg': 143.9502083333334, 'xsmm_upstream_best': 143.439}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.0734775195724044, 'speedup_best': 1.0683309032618997, 'xsmm_local_avg': 348.5615416666667, 'xsmm_local_best': 344.983, 'xsmm_upstream_avg': 374.17297916666666, 'xsmm_upstream_best': 368.556}
