{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0329824046858194, 'speedup_best': 1.0284457880994915, 'xsmm_local_avg': 29.265604166666666, 'xsmm_local_best': 29.108, 'xsmm_upstream_avg': 30.23085416666667, 'xsmm_upstream_best': 29.936}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 0.9615886734379808, 'speedup_best': 0.9637161179583759, 'xsmm_local_avg': 42.30468750000001, 'xsmm_local_best': 41.947, 'xsmm_upstream_avg': 40.67970833333334, 'xsmm_upstream_best': 40.425}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9121304232394838, 'speedup_best': 0.9103398409255242, 'xsmm_local_avg': 73.37010416666665, 'xsmm_local_best': 73.299, 'xsmm_upstream_avg': 66.92310416666666, 'xsmm_upstream_best': 66.727}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 0.989577356027645, 'speedup_best': 0.9873170484235091, 'xsmm_local_avg': 158.25918750000002, 'xsmm_local_best': 157.692, 'xsmm_upstream_avg': 156.60970833333334, 'xsmm_upstream_best': 155.692}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.078866974768931, 'speedup_best': 1.07903585184844, 'xsmm_local_avg': 349.3023124999999, 'xsmm_local_best': 347.374, 'xsmm_upstream_avg': 376.85072916666667, 'xsmm_upstream_best': 374.829}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 0.9861736838417169, 'speedup_best': 0.974443259504595, 'xsmm_local_avg': 850.8894583333331, 'xsmm_local_best': 842.987, 'xsmm_upstream_avg': 839.1247916666662, 'xsmm_upstream_best': 821.443}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.051783044816333, 'speedup_best': 1.050137961080453, 'xsmm_local_avg': 27.774937499999993, 'xsmm_local_best': 27.544, 'xsmm_upstream_avg': 29.21320833333334, 'xsmm_upstream_best': 28.925}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 0.9942119047889003, 'speedup_best': 0.9956892255556664, 'xsmm_local_avg': 40.424208333333326, 'xsmm_local_best': 40.132, 'xsmm_upstream_avg': 40.19022916666666, 'xsmm_upstream_best': 39.959}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 0.9371003532222367, 'speedup_best': 0.9357066199728875, 'xsmm_local_avg': 71.07187500000002, 'xsmm_local_best': 70.816, 'xsmm_upstream_avg': 66.60147916666668, 'xsmm_upstream_best': 66.263}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.0117817306919281, 'speedup_best': 1.0095222745148602, 'xsmm_local_avg': 156.00070833333334, 'xsmm_local_best': 155.11, 'xsmm_upstream_avg': 157.83866666666668, 'xsmm_upstream_best': 156.587}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.0580191459351502, 'speedup_best': 1.0547051386884942, 'xsmm_local_avg': 360.0873124999999, 'xsmm_local_best': 358.321, 'xsmm_upstream_avg': 380.97927083333343, 'xsmm_upstream_best': 377.923}
