{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9970187585419699, 'speedup_best': 1.1097114993904917, 'xsmm_local_avg': 5.548583333333336, 'xsmm_local_best': 4.922, 'xsmm_upstream_avg': 5.532041666666667, 'xsmm_upstream_best': 5.462}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0000067642522796, 'speedup_best': 1.004406779661017, 'xsmm_local_avg': 3.0799166666666657, 'xsmm_local_best': 2.95, 'xsmm_upstream_avg': 3.0799374999999993, 'xsmm_upstream_best': 2.963}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.0032445645882844, 'speedup_best': 1.0001662786830727, 'xsmm_local_avg': 6.119208333333332, 'xsmm_local_best': 6.014, 'xsmm_upstream_avg': 6.1390625000000005, 'xsmm_upstream_best': 6.015}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9961900716186887, 'speedup_best': 1.0088016249153688, 'xsmm_local_avg': 3.1387291666666663, 'xsmm_local_best': 2.954, 'xsmm_upstream_avg': 3.1267708333333335, 'xsmm_upstream_best': 2.98}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9913635696241607, 'speedup_best': 1.051935421124295, 'xsmm_local_avg': 5.533729166666667, 'xsmm_local_best': 5.141, 'xsmm_upstream_avg': 5.4859374999999995, 'xsmm_upstream_best': 5.408}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0062355063128061, 'speedup_best': 1.0200981167906313, 'xsmm_local_avg': 12.936666666666667, 'xsmm_local_best': 12.638, 'xsmm_upstream_avg': 13.017333333333335, 'xsmm_upstream_best': 12.892}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.7098229213427998, 'speedup_best': 0.6817573926395561, 'xsmm_local_avg': 20.373479166666662, 'xsmm_local_best': 20.189, 'xsmm_upstream_avg': 14.4615625, 'xsmm_upstream_best': 13.764}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9126857031205647, 'speedup_best': 0.9123267262598782, 'xsmm_local_avg': 31.560791666666663, 'xsmm_local_best': 30.876, 'xsmm_upstream_avg': 28.805083333333325, 'xsmm_upstream_best': 28.169}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9561976703989503, 'speedup_best': 0.950016112284722, 'xsmm_local_avg': 28.445499999999996, 'xsmm_local_best': 27.929, 'xsmm_upstream_avg': 27.199520833333338, 'xsmm_upstream_best': 26.533}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0252530384538754, 'speedup_best': 1.0092886707094042, 'xsmm_local_avg': 20.9125, 'xsmm_local_best': 20.778, 'xsmm_upstream_avg': 21.44060416666667, 'xsmm_upstream_best': 20.971}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0065940800468862, 'speedup_best': 0.9994794377928162, 'xsmm_local_avg': 15.569520833333335, 'xsmm_local_best': 15.368, 'xsmm_upstream_avg': 15.672187499999998, 'xsmm_upstream_best': 15.36}
