{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0315710569565675, 'speedup_best': 1.0260199833472106, 'xsmm_local_avg': 29.015895833333335, 'xsmm_local_best': 28.824, 'xsmm_upstream_avg': 29.93195833333333, 'xsmm_upstream_best': 29.574}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.036254289053957, 'speedup_best': 1.0363243136965774, 'xsmm_local_avg': 40.88654166666667, 'xsmm_local_best': 40.688999999999965, 'xsmm_upstream_avg': 42.368854166666665, 'xsmm_upstream_best': 42.167}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.924779068382477, 'speedup_best': 0.9248042294956157, 'xsmm_local_avg': 70.48985416666666, 'xsmm_local_best': 70.363, 'xsmm_upstream_avg': 65.18754166666666, 'xsmm_upstream_best': 65.072}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 0.9613133380451093, 'speedup_best': 0.9625506404089192, 'xsmm_local_avg': 153.30972916666673, 'xsmm_local_best': 152.793, 'xsmm_upstream_avg': 147.37868750000004, 'xsmm_upstream_best': 147.071}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.1098239309238234, 'speedup_best': 1.0974325038132602, 'xsmm_local_avg': 338.21597916666667, 'xsmm_local_best': 336.98199999999997, 'xsmm_upstream_avg': 375.36018749999994, 'xsmm_upstream_best': 369.815}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 0.9803479259056023, 'speedup_best': 0.9573164807894033, 'xsmm_local_avg': 818.7674791666667, 'xsmm_local_best': 813.171, 'xsmm_upstream_avg': 802.6770000000001, 'xsmm_upstream_best': 778.462}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.019930666873246, 'speedup_best': 1.0134421162347698, 'xsmm_local_avg': 27.968833333333333, 'xsmm_local_best': 27.823, 'xsmm_upstream_avg': 28.52627083333334, 'xsmm_upstream_best': 28.197}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.0340115126476828, 'speedup_best': 1.0359842383088398, 'xsmm_local_avg': 40.564083333333336, 'xsmm_local_best': 40.351, 'xsmm_upstream_avg': 41.943729166666664, 'xsmm_upstream_best': 41.803}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 0.9473285345796868, 'speedup_best': 0.9465710668119315, 'xsmm_local_avg': 68.03849999999998, 'xsmm_local_best': 67.922, 'xsmm_upstream_avg': 64.4548125, 'xsmm_upstream_best': 64.293}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.009264736812117, 'speedup_best': 1.006066268567792, 'xsmm_local_avg': 148.08614583333338, 'xsmm_local_best': 147.702, 'xsmm_upstream_avg': 149.458125, 'xsmm_upstream_best': 148.598}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.0853359942441847, 'speedup_best': 1.0731954588226382, 'xsmm_local_avg': 344.34741666666673, 'xsmm_local_best': 343.259, 'xsmm_upstream_avg': 373.73264583333327, 'xsmm_upstream_best': 368.384}
