{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0005470369177665, 'speedup_best': 0.9984661042382207, 'xsmm_local_avg': 30.276750000000003, 'xsmm_local_best': 29.989, 'xsmm_upstream_avg': 30.29331249999999, 'xsmm_upstream_best': 29.943}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0048554985980171, 'speedup_best': 1.0050939128724554, 'xsmm_local_avg': 51.02891666666665, 'xsmm_local_best': 50.845, 'xsmm_upstream_avg': 51.27668749999999, 'xsmm_upstream_best': 51.104}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0160074221650528, 'speedup_best': 1.0156767779760387, 'xsmm_local_avg': 78.61587499999999, 'xsmm_local_best': 78.46, 'xsmm_upstream_avg': 79.8743125, 'xsmm_upstream_best': 79.69}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0311763832763496, 'speedup_best': 1.0307484560731919, 'xsmm_local_avg': 162.11322916666668, 'xsmm_local_best': 161.439, 'xsmm_upstream_avg': 167.16733333333337, 'xsmm_upstream_best': 166.40300000000002}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.0436160871672837, 'speedup_best': 1.0394146025784856, 'xsmm_local_avg': 378.20000000000005, 'xsmm_local_best': 377.043, 'xsmm_upstream_avg': 394.6956041666668, 'xsmm_upstream_best': 391.904}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0386719188270717, 'speedup_best': 1.0264824368622139, 'xsmm_local_avg': 845.9799166666668, 'xsmm_local_best': 836.781, 'xsmm_upstream_avg': 878.695583333333, 'xsmm_upstream_best': 858.941}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.006542838043007, 'speedup_best': 1.003741484592849, 'xsmm_local_avg': 28.73370833333333, 'xsmm_local_best': 28.331, 'xsmm_upstream_avg': 28.92170833333333, 'xsmm_upstream_best': 28.437}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.0032182565302388, 'speedup_best': 1.0043931141414535, 'xsmm_local_avg': 50.79095833333333, 'xsmm_local_best': 50.30600000000004, 'xsmm_upstream_avg': 50.95441666666667, 'xsmm_upstream_best': 50.527}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 1.028018804574051, 'speedup_best': 1.027288857805235, 'xsmm_local_avg': 77.43683333333334, 'xsmm_local_best': 77.211, 'xsmm_upstream_avg': 79.60652083333336, 'xsmm_upstream_best': 79.318}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.0373004074157903, 'speedup_best': 1.0359822319144059, 'xsmm_local_avg': 161.99666666666667, 'xsmm_local_best': 161.413, 'xsmm_upstream_avg': 168.0392083333333, 'xsmm_upstream_best': 167.221}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.0241217849635595, 'speedup_best': 1.0186799373024535, 'xsmm_local_avg': 388.0966250000001, 'xsmm_local_best': 386.618, 'xsmm_upstream_avg': 397.4582083333333, 'xsmm_upstream_best': 393.84}
