{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9973846756127795, 'speedup_best': 1.0180982876235556, 'xsmm_local_avg': 7.663166666666666, 'xsmm_local_best': 7.183, 'xsmm_upstream_avg': 7.643124999999998, 'xsmm_upstream_best': 7.313}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 0.9925861991548465, 'speedup_best': 0.9929782082324455, 'xsmm_local_avg': 4.175770833333334, 'xsmm_local_best': 4.13, 'xsmm_upstream_avg': 4.1448125, 'xsmm_upstream_best': 4.101}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9997830610091603, 'speedup_best': 1.0185342216838278, 'xsmm_local_avg': 8.450916666666666, 'xsmm_local_best': 8.255, 'xsmm_upstream_avg': 8.449083333333329, 'xsmm_upstream_best': 8.408}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0098443521345277, 'speedup_best': 1.00146484375, 'xsmm_local_avg': 4.162708333333334, 'xsmm_local_best': 4.096, 'xsmm_upstream_avg': 4.2036875, 'xsmm_upstream_best': 4.102}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9974980128868728, 'speedup_best': 0.9697794718213993, 'xsmm_local_avg': 7.627270833333333, 'xsmm_local_best': 7.346, 'xsmm_upstream_avg': 7.608187500000002, 'xsmm_upstream_best': 7.124}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0043709131382457, 'speedup_best': 0.9928255142648955, 'xsmm_local_avg': 17.96916666666667, 'xsmm_local_best': 17.841, 'xsmm_upstream_avg': 18.04770833333333, 'xsmm_upstream_best': 17.713}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9781879774297855, 'speedup_best': 0.9904093567251463, 'xsmm_local_avg': 22.311854166666667, 'xsmm_local_best': 21.375, 'xsmm_upstream_avg': 21.8251875, 'xsmm_upstream_best': 21.17}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9931652967742457, 'speedup_best': 0.9962910532276331, 'xsmm_local_avg': 36.23054166666667, 'xsmm_local_best': 35.32, 'xsmm_upstream_avg': 35.982916666666675, 'xsmm_upstream_best': 35.189}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.016097143414871, 'speedup_best': 0.9925882771790142, 'xsmm_local_avg': 31.590749999999996, 'xsmm_local_best': 30.897, 'xsmm_upstream_avg': 32.09927083333333, 'xsmm_upstream_best': 30.668}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0023032487081425, 'speedup_best': 1.002101338756143, 'xsmm_local_avg': 29.749645833333336, 'xsmm_local_best': 29.505, 'xsmm_upstream_avg': 29.818166666666656, 'xsmm_upstream_best': 29.567}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0046989838186229, 'speedup_best': 1.0034485929740666, 'xsmm_local_avg': 21.928499999999996, 'xsmm_local_best': 21.748, 'xsmm_upstream_avg': 22.03154166666667, 'xsmm_upstream_best': 21.823}
