{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.018077045367668, 'speedup_best': 1.05012442232492, 'xsmm_local_avg': 5.831520833333332, 'xsmm_local_best': 5.626, 'xsmm_upstream_avg': 5.9369375, 'xsmm_upstream_best': 5.908}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.028545052150203, 'speedup_best': 1.0276999688764394, 'xsmm_local_avg': 3.407624999999999, 'xsmm_local_best': 3.213, 'xsmm_upstream_avg': 3.5048958333333347, 'xsmm_upstream_best': 3.302}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.0344246432256123, 'speedup_best': 1.0265075182142305, 'xsmm_local_avg': 6.502125, 'xsmm_local_best': 6.451, 'xsmm_upstream_avg': 6.725958333333335, 'xsmm_upstream_best': 6.622}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0331618849782627, 'speedup_best': 1.0417575568712993, 'xsmm_local_avg': 3.3497291666666675, 'xsmm_local_best': 3.209, 'xsmm_upstream_avg': 3.460812499999999, 'xsmm_upstream_best': 3.343}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.01864553003343, 'speedup_best': 1.0476615494466262, 'xsmm_local_avg': 5.795625000000001, 'xsmm_local_best': 5.602, 'xsmm_upstream_avg': 5.903687499999999, 'xsmm_upstream_best': 5.869}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0208315563732955, 'speedup_best': 1.0216975581053251, 'xsmm_local_avg': 13.678166666666668, 'xsmm_local_best': 13.596, 'xsmm_upstream_avg': 13.963104166666666, 'xsmm_upstream_best': 13.891}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9301844055229264, 'speedup_best': 0.9904694312075434, 'xsmm_local_avg': 21.4213125, 'xsmm_local_best': 19.726, 'xsmm_upstream_avg': 19.92577083333333, 'xsmm_upstream_best': 19.538}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.97634799060928, 'speedup_best': 0.9769855036550614, 'xsmm_local_avg': 32.461125, 'xsmm_local_best': 32.284, 'xsmm_upstream_avg': 31.693354166666666, 'xsmm_upstream_best': 31.541}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9356349146491694, 'speedup_best': 0.9306676572895207, 'xsmm_local_avg': 29.83275, 'xsmm_local_best': 29.611, 'xsmm_upstream_avg': 27.912562500000007, 'xsmm_upstream_best': 27.558}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0637115320139585, 'speedup_best': 1.0626223091976517, 'xsmm_local_avg': 22.0590625, 'xsmm_local_best': 21.973, 'xsmm_upstream_avg': 23.464479166666663, 'xsmm_upstream_best': 23.349}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0269285805576926, 'speedup_best': 1.023602033405955, 'xsmm_local_avg': 16.626541666666668, 'xsmm_local_best': 16.524, 'xsmm_upstream_avg': 17.074270833333333, 'xsmm_upstream_best': 16.914}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 0.9371915547833823, 'speedup_best': 0.9713735748482307, 'xsmm_local_avg': 21.35627083333333, 'xsmm_local_best': 20.261, 'xsmm_upstream_avg': 20.014916666666664, 'xsmm_upstream_best': 19.681}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 0.9708536511988447, 'speedup_best': 0.9685606528997156, 'xsmm_local_avg': 32.54695833333333, 'xsmm_local_best': 32.348, 'xsmm_upstream_avg': 31.59833333333333, 'xsmm_upstream_best': 31.331}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.9404062273022535, 'speedup_best': 0.926674967190497, 'xsmm_local_avg': 29.85910416666667, 'xsmm_local_best': 29.717, 'xsmm_upstream_avg': 28.079687500000002, 'xsmm_upstream_best': 27.538}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.0643521510557805, 'speedup_best': 1.0634508517809957, 'xsmm_local_avg': 22.049250000000004, 'xsmm_local_best': 21.954, 'xsmm_upstream_avg': 23.468166666666672, 'xsmm_upstream_best': 23.34699999999998}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0105043769706359, 'speedup_best': 1.0082932352108689, 'xsmm_local_avg': 35.45545833333333, 'xsmm_local_best': 35.33, 'xsmm_upstream_avg': 35.827895833333336, 'xsmm_upstream_best': 35.623}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9897606997728321, 'speedup_best': 0.9850112065745237, 'xsmm_local_avg': 42.94727083333333, 'xsmm_local_best': 42.832, 'xsmm_upstream_avg': 42.50752083333334, 'xsmm_upstream_best': 42.19}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.044032264434273, 'speedup_best': 1.041753403321702, 'xsmm_local_avg': 66.99585416666669, 'xsmm_local_best': 66.773, 'xsmm_upstream_avg': 69.94583333333334, 'xsmm_upstream_best': 69.561}
