{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0627567619555889, 'speedup_best': 1.0599560531547558, 'xsmm_local_avg': 28.8093125, 'xsmm_local_best': 28.671, 'xsmm_upstream_avg': 30.61729166666667, 'xsmm_upstream_best': 30.39}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.2838811231665035, 'speedup_best': 1.285560587484675, 'xsmm_local_avg': 40.11575, 'xsmm_local_best': 39.967, 'xsmm_upstream_avg': 51.50385416666666, 'xsmm_upstream_best': 51.38}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.1744673275249748, 'speedup_best': 1.1748291907173989, 'xsmm_local_avg': 68.10587500000001, 'xsmm_local_best': 67.912, 'xsmm_upstream_avg': 79.98812500000001, 'xsmm_upstream_best': 79.785}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.1484914660875505, 'speedup_best': 1.145995237348315, 'xsmm_local_avg': 140.9425833333333, 'xsmm_local_best': 140.25800000000004, 'xsmm_upstream_avg': 161.8713541666667, 'xsmm_upstream_best': 160.735}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.2583385003430991, 'speedup_best': 1.2508441247622866, 'xsmm_local_avg': 310.4968541666667, 'xsmm_local_best': 309.196, 'xsmm_upstream_avg': 390.71014583333334, 'xsmm_upstream_best': 386.756}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 0.29543195076834844, 'speedup_best': 0.296780398773155, 'xsmm_local_avg': 2956.434770833333, 'xsmm_local_best': 2884.146, 'xsmm_upstream_avg': 873.4252916666668, 'xsmm_upstream_best': 855.958}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.071614963060173, 'speedup_best': 1.0661468628742954, 'xsmm_local_avg': 27.432000000000002, 'xsmm_local_best': 27.318, 'xsmm_upstream_avg': 29.396541666666668, 'xsmm_upstream_best': 29.125}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.2978062999831297, 'speedup_best': 1.299584683954619, 'xsmm_local_avg': 39.640979166666675, 'xsmm_local_best': 39.488, 'xsmm_upstream_avg': 51.446312500000005, 'xsmm_upstream_best': 51.318}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 1.2036587274626944, 'speedup_best': 1.2056444908016266, 'xsmm_local_avg': 66.41881250000002, 'xsmm_local_best': 66.153, 'xsmm_upstream_avg': 79.94558333333332, 'xsmm_upstream_best': 79.757}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.1354029181957381, 'speedup_best': 1.1344806148977054, 'xsmm_local_avg': 142.34537499999996, 'xsmm_local_best': 141.552, 'xsmm_upstream_avg': 161.61935416666662, 'xsmm_upstream_best': 160.58799999999997}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.2717594053873944, 'speedup_best': 1.2658822096820195, 'xsmm_local_avg': 313.32164583333343, 'xsmm_local_best': 312.063, 'xsmm_upstream_avg': 398.4697499999999, 'xsmm_upstream_best': 395.035}
