{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9989032052701502, 'speedup_best': 1.0059311981020167, 'xsmm_local_avg': 6.021333333333334, 'xsmm_local_best': 5.901, 'xsmm_upstream_avg': 6.0147291666666645, 'xsmm_upstream_best': 5.936}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0297394185871367, 'speedup_best': 1.0304659498207887, 'xsmm_local_avg': 3.4578124999999997, 'xsmm_local_best': 3.348, 'xsmm_upstream_avg': 3.5606458333333335, 'xsmm_upstream_best': 3.45}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.0047483001147097, 'speedup_best': 0.9982116244411326, 'xsmm_local_avg': 6.774354166666665, 'xsmm_local_best': 6.71, 'xsmm_upstream_avg': 6.806520833333333, 'xsmm_upstream_best': 6.698}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 0.9705373923939019, 'speedup_best': 0.9791849897390794, 'xsmm_local_avg': 3.591416666666668, 'xsmm_local_best': 3.411, 'xsmm_upstream_avg': 3.485604166666667, 'xsmm_upstream_best': 3.34}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9994185763127293, 'speedup_best': 0.9996569468267582, 'xsmm_local_avg': 5.983875, 'xsmm_local_best': 5.83, 'xsmm_upstream_avg': 5.980395833333334, 'xsmm_upstream_best': 5.828}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0030546856749143, 'speedup_best': 0.9986405266170578, 'xsmm_local_avg': 14.090375, 'xsmm_local_best': 13.976, 'xsmm_upstream_avg': 14.13341666666667, 'xsmm_upstream_best': 13.957}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 1.006325501609755, 'speedup_best': 0.996155844155844, 'xsmm_local_avg': 19.820562499999998, 'xsmm_local_best': 19.25, 'xsmm_upstream_avg': 19.945937499999996, 'xsmm_upstream_best': 19.176}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 1.0054580279944656, 'speedup_best': 1.0062741783427067, 'xsmm_local_avg': 31.738416666666662, 'xsmm_local_best': 30.761, 'xsmm_upstream_avg': 31.911645833333342, 'xsmm_upstream_best': 30.954}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 1.0014753035243278, 'speedup_best': 1.0006753461148838, 'xsmm_local_avg': 27.692041666666665, 'xsmm_local_best': 26.653, 'xsmm_upstream_avg': 27.73289583333333, 'xsmm_upstream_best': 26.671}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 0.9977121681185147, 'speedup_best': 1.0012969047207332, 'xsmm_local_avg': 23.566708333333334, 'xsmm_local_best': 23.132, 'xsmm_upstream_avg': 23.51279166666667, 'xsmm_upstream_best': 23.162}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 0.9957834085657739, 'speedup_best': 0.9958582332406366, 'xsmm_local_avg': 17.095166666666668, 'xsmm_local_best': 16.901, 'xsmm_upstream_avg': 17.023083333333332, 'xsmm_upstream_best': 16.831}
