{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.0095203991915194, 'speedup_best': 1.009525549350175, 'xsmm_local_avg': 38.45689583333333, 'xsmm_local_best': 38.318, 'xsmm_upstream_avg': 38.82302083333334, 'xsmm_upstream_best': 38.683}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0303443476725607, 'speedup_best': 1.0308948215500506, 'xsmm_local_avg': 60.4155625, 'xsmm_local_best': 60.269, 'xsmm_upstream_avg': 62.24883333333332, 'xsmm_upstream_best': 62.131}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 1.0603020882585505, 'speedup_best': 1.0600633383413136, 'xsmm_local_avg': 92.66193750000002, 'xsmm_local_best': 92.519, 'xsmm_upstream_avg': 98.24964583333332, 'xsmm_upstream_best': 98.076}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.1264406093248793, 'speedup_best': 1.128550498090969, 'xsmm_local_avg': 184.6784375, 'xsmm_local_best': 183.601, 'xsmm_upstream_avg': 208.02929166666664, 'xsmm_upstream_best': 207.203}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.1002230676447893, 'speedup_best': 1.076938964951557, 'xsmm_local_avg': 422.56427083333324, 'xsmm_local_best': 421.217, 'xsmm_upstream_avg': 464.91495833333346, 'xsmm_upstream_best': 453.625}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.00479490569833, 'speedup_best': 1.0003991260108593, 'xsmm_local_avg': 938.1527916666669, 'xsmm_local_best': 929.531, 'xsmm_upstream_avg': 942.6511458333335, 'xsmm_upstream_best': 929.902}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.010790565019919, 'speedup_best': 1.0110992646053747, 'xsmm_local_avg': 36.727687499999995, 'xsmm_local_best': 36.579, 'xsmm_upstream_avg': 37.12400000000001, 'xsmm_upstream_best': 36.985}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.0281419545128598, 'speedup_best': 1.0277281903268323, 'xsmm_local_avg': 60.05268750000002, 'xsmm_local_best': 59.939, 'xsmm_upstream_avg': 61.74268750000001, 'xsmm_upstream_best': 61.601}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 1.0636783727791403, 'speedup_best': 1.0623193270032372, 'xsmm_local_avg': 92.52585416666663, 'xsmm_local_best': 92.363, 'xsmm_upstream_avg': 98.41775, 'xsmm_upstream_best': 98.119}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.1444678090515827, 'speedup_best': 1.1442603486426683, 'xsmm_local_avg': 186.14931249999998, 'xsmm_local_best': 185.29, 'xsmm_upstream_avg': 213.04189583333337, 'xsmm_upstream_best': 212.02}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.1302054395736538, 'speedup_best': 1.0940329868091054, 'xsmm_local_avg': 419.44004166666656, 'xsmm_local_best': 417.864, 'xsmm_upstream_avg': 474.0534166666666, 'xsmm_upstream_best': 457.15700000000004}
