{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 0.9913149353573266, 'speedup_best': 1.0008768853034022, 'xsmm_local_avg': 5.7833958333333335, 'xsmm_local_best': 5.702, 'xsmm_upstream_avg': 5.733166666666666, 'xsmm_upstream_best': 5.707}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0133663429027306, 'speedup_best': 1.01285669488868, 'xsmm_local_avg': 3.290291666666669, 'xsmm_local_best': 3.189, 'xsmm_upstream_avg': 3.3342708333333326, 'xsmm_upstream_best': 3.23}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 0.9942759866008987, 'speedup_best': 0.9977977033191757, 'xsmm_local_avg': 6.449437499999999, 'xsmm_local_best': 6.357, 'xsmm_upstream_avg': 6.412520833333333, 'xsmm_upstream_best': 6.343}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0109493473117666, 'speedup_best': 1.0226837060702876, 'xsmm_local_avg': 3.2669374999999996, 'xsmm_local_best': 3.13, 'xsmm_upstream_avg': 3.302708333333334, 'xsmm_upstream_best': 3.201}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 0.9883057646467315, 'speedup_best': 1.0423806891468583, 'xsmm_local_avg': 5.759604166666667, 'xsmm_local_best': 5.427, 'xsmm_upstream_avg': 5.6922500000000005, 'xsmm_upstream_best': 5.657}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0018626838724036, 'speedup_best': 1.0015678662087502, 'xsmm_local_avg': 13.47741666666667, 'xsmm_local_best': 13.394, 'xsmm_upstream_avg': 13.502520833333335, 'xsmm_upstream_best': 13.415}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.669579152199626, 'speedup_best': 0.6720838924506735, 'xsmm_local_avg': 21.2948125, 'xsmm_local_best': 20.121, 'xsmm_upstream_avg': 14.258562499999998, 'xsmm_upstream_best': 13.523}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9161272175492287, 'speedup_best': 0.9151036201469046, 'xsmm_local_avg': 31.626270833333336, 'xsmm_local_best': 30.496, 'xsmm_upstream_avg': 28.973687499999993, 'xsmm_upstream_best': 27.907}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9430216778216984, 'speedup_best': 0.9428438328674837, 'xsmm_local_avg': 28.87647916666668, 'xsmm_local_best': 27.906, 'xsmm_upstream_avg': 27.231145833333333, 'xsmm_upstream_best': 26.311}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0166135229072106, 'speedup_best': 1.0109602861597726, 'xsmm_local_avg': 22.064104166666667, 'xsmm_local_best': 21.806, 'xsmm_upstream_avg': 22.430666666666664, 'xsmm_upstream_best': 22.045}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.015599249471283, 'speedup_best': 1.0136117844490025, 'xsmm_local_avg': 16.244104166666663, 'xsmm_local_best': 16.089, 'xsmm_upstream_avg': 16.497500000000006, 'xsmm_upstream_best': 16.308}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m3.txt', 'speedup_avg': 0.6732015503642271, 'speedup_best': 0.6851814414232286, 'xsmm_local_avg': 20.731687499999996, 'xsmm_local_best': 19.786, 'xsmm_upstream_avg': 13.956604166666665, 'xsmm_upstream_best': 13.557}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m6.txt', 'speedup_avg': 0.9076283379166935, 'speedup_best': 0.8968096523464179, 'xsmm_local_avg': 31.871020833333347, 'xsmm_local_best': 30.749, 'xsmm_upstream_avg': 28.927041666666657, 'xsmm_upstream_best': 27.576}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m132.txt', 'speedup_avg': 0.9197730170265344, 'speedup_best': 0.9413038078001349, 'xsmm_local_avg': 29.642458333333334, 'xsmm_local_best': 28.179, 'xsmm_upstream_avg': 27.264333333333337, 'xsmm_upstream_best': 26.525}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m460.txt', 'speedup_avg': 1.0048942138035233, 'speedup_best': 1.008394495412844, 'xsmm_local_avg': 22.186062500000002, 'xsmm_local_best': 21.8, 'xsmm_upstream_avg': 22.294645833333334, 'xsmm_upstream_best': 21.983}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.015625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9909023646210482, 'speedup_best': 0.9785185185185185, 'xsmm_local_avg': 34.35187499999999, 'xsmm_local_best': 33.75, 'xsmm_upstream_avg': 34.03935416666666, 'xsmm_upstream_best': 33.025}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.8638328028681135, 'speedup_best': 0.8584052128258015, 'xsmm_local_avg': 43.390895833333325, 'xsmm_local_best': 42.664, 'xsmm_upstream_avg': 37.48247916666667, 'xsmm_upstream_best': 36.623}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9488652002635394, 'speedup_best': 0.9495831083918183, 'xsmm_local_avg': 66.90974999999999, 'xsmm_local_best': 66.684, 'xsmm_upstream_avg': 63.488333333333344, 'xsmm_upstream_best': 63.322}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.8164357485674101, 'speedup_best': 0.8148012531022418, 'xsmm_local_avg': 73.94095833333333, 'xsmm_local_best': 73.737, 'xsmm_upstream_avg': 60.36804166666667, 'xsmm_upstream_best': 60.081}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0546875, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.009705598979172, 'speedup_best': 1.0079755025777655, 'xsmm_local_avg': 58.188062499999994, 'xsmm_local_best': 57.802, 'xsmm_upstream_avg': 58.75281249999998, 'xsmm_upstream_best': 58.263}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m0.txt', 'speedup_avg': 0.9968889024370565, 'speedup_best': 0.995605793414472, 'xsmm_local_avg': 34.855062499999995, 'xsmm_local_best': 34.591, 'xsmm_upstream_avg': 34.746625, 'xsmm_upstream_best': 34.439}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m3.txt', 'speedup_avg': 0.8473438085622276, 'speedup_best': 0.8502814960170066, 'xsmm_local_avg': 43.57900000000001, 'xsmm_local_best': 42.807, 'xsmm_upstream_avg': 36.92639583333332, 'xsmm_upstream_best': 36.398}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.020833333333333332, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m6.txt', 'speedup_avg': 0.9495839497560182, 'speedup_best': 0.9495727524371165, 'xsmm_local_avg': 66.83387499999999, 'xsmm_local_best': 66.472, 'xsmm_upstream_avg': 63.464375, 'xsmm_upstream_best': 63.12}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m132.txt', 'speedup_avg': 0.784879626489997, 'speedup_best': 0.7858779159100433, 'xsmm_local_avg': 71.885625, 'xsmm_local_best': 71.59, 'xsmm_upstream_avg': 56.42156249999999, 'xsmm_upstream_best': 56.261}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0625, 'mat_file': 'example_mats_med/hex/p3/gauss-legendre/m460.txt', 'speedup_avg': 1.0417599717033534, 'speedup_best': 1.0400371638478347, 'xsmm_local_avg': 58.54639583333333, 'xsmm_local_best': 58.121, 'xsmm_upstream_avg': 60.991291666666655, 'xsmm_upstream_best': 60.448}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.008, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 0.9781396908171275, 'speedup_best': 0.9772555096418734, 'xsmm_local_avg': 58.59935416666665, 'xsmm_local_best': 58.08, 'xsmm_upstream_avg': 57.318354166666666, 'xsmm_upstream_best': 56.759}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.8034368166297329, 'speedup_best': 0.8032537255157156, 'xsmm_local_avg': 77.03470833333334, 'xsmm_local_best': 76.835, 'xsmm_upstream_avg': 61.89252083333329, 'xsmm_upstream_best': 61.718}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'density': 0.013333333333333334, 'mat_file': 'example_mats_med/hex/p4/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9469674967103525, 'speedup_best': 0.9471271745749601, 'xsmm_local_avg': 121.65691666666667, 'xsmm_local_best': 121.518, 'xsmm_upstream_avg': 115.2051458333333, 'xsmm_upstream_best': 115.093}
