{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'speedup_avg': 1.031107654785629, 'speedup_best': 1.0257611241217799, 'xsmm_local_avg': 28.71814583333332, 'xsmm_local_best': 28.609, 'xsmm_upstream_avg': 29.611500000000007, 'xsmm_upstream_best': 29.346}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'speedup_avg': 1.0397630984324242, 'speedup_best': 1.037955364291433, 'xsmm_local_avg': 40.12566666666668, 'xsmm_local_best': 39.968, 'xsmm_upstream_avg': 41.72118749999999, 'xsmm_upstream_best': 41.485}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'speedup_avg': 0.9348062755827496, 'speedup_best': 0.9335200996086809, 'xsmm_local_avg': 67.64710416666668, 'xsmm_local_best': 67.464, 'xsmm_upstream_avg': 63.23693749999998, 'xsmm_upstream_best': 62.97900000000004}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'speedup_avg': 1.0065194632295371, 'speedup_best': 1.0077240073096927, 'xsmm_local_avg': 136.39287500000003, 'xsmm_local_best': 135.163, 'xsmm_upstream_avg': 137.2820833333334, 'xsmm_upstream_best': 136.207}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'speedup_avg': 1.13561421907338, 'speedup_best': 1.117481807631258, 'xsmm_local_avg': 310.95497916666665, 'xsmm_local_best': 309.333, 'xsmm_upstream_avg': 353.1248958333333, 'xsmm_upstream_best': 345.674}
{'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'speedup_avg': 1.0574089637216801, 'speedup_best': 1.0201323663456585, 'xsmm_local_avg': 738.8509375, 'xsmm_local_best': 731.757, 'xsmm_upstream_avg': 781.2676041666668, 'xsmm_upstream_best': 746.489}
{'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'speedup_avg': 1.0343930952265095, 'speedup_best': 1.0304253679304143, 'xsmm_local_avg': 27.40133333333334, 'xsmm_local_best': 27.247, 'xsmm_upstream_avg': 28.34375, 'xsmm_upstream_best': 28.076}
{'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'speedup_avg': 1.0417624280900408, 'speedup_best': 1.041993352109817, 'xsmm_local_avg': 39.549604166666676, 'xsmm_local_best': 39.411, 'xsmm_upstream_avg': 41.20129166666667, 'xsmm_upstream_best': 41.066}
{'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'speedup_avg': 0.9528104841766444, 'speedup_best': 0.9521606352114828, 'xsmm_local_avg': 65.68152083333332, 'xsmm_local_best': 65.49, 'xsmm_upstream_avg': 62.582041666666676, 'xsmm_upstream_best': 62.357}
{'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'speedup_avg': 1.0080981230710486, 'speedup_best': 1.0100268210153984, 'xsmm_local_avg': 137.9203333333333, 'xsmm_local_best': 136.833, 'xsmm_upstream_avg': 139.0372291666667, 'xsmm_upstream_best': 138.205}
{'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'speedup_avg': 1.132169448075127, 'speedup_best': 1.117085459388338, 'xsmm_local_avg': 313.3816458333334, 'xsmm_local_best': 311.61, 'xsmm_upstream_avg': 354.80112499999996, 'xsmm_upstream_best': 348.095}
