{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m0.txt', 'speedup_avg': 1.020241915576401, 'speedup_best': 1.0860294117647058, 'xsmm_local_avg': 5.8233125, 'xsmm_local_best': 5.44, 'xsmm_upstream_avg': 5.941187500000001, 'xsmm_upstream_best': 5.908}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m3.txt', 'speedup_avg': 1.0104562737642584, 'speedup_best': 1.0049140049140048, 'xsmm_local_avg': 3.397083333333333, 'xsmm_local_best': 3.256, 'xsmm_upstream_avg': 3.432604166666666, 'xsmm_upstream_best': 3.272}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m6.txt', 'speedup_avg': 1.0432632479518824, 'speedup_best': 1.042302248781255, 'xsmm_local_avg': 6.428666666666665, 'xsmm_local_best': 6.359, 'xsmm_upstream_avg': 6.706791666666667, 'xsmm_upstream_best': 6.628}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m132.txt', 'speedup_avg': 1.0409417812555395, 'speedup_best': 1.0579064587973275, 'xsmm_local_avg': 3.2907499999999987, 'xsmm_local_best': 3.143, 'xsmm_upstream_avg': 3.425479166666665, 'xsmm_upstream_best': 3.325}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'example_mats_med/hex/p1/gauss-legendre/m460.txt', 'speedup_avg': 1.0166087528343037, 'speedup_best': 1.0414563806777217, 'xsmm_local_avg': 5.797645833333334, 'xsmm_local_best': 5.548, 'xsmm_upstream_avg': 5.893937499999999, 'xsmm_upstream_best': 5.778}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m0.txt', 'speedup_avg': 1.0185947033454572, 'speedup_best': 1.0168240850059032, 'xsmm_local_avg': 13.627312499999997, 'xsmm_local_best': 13.552, 'xsmm_upstream_avg': 13.880708333333336, 'xsmm_upstream_best': 13.78}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m3.txt', 'speedup_avg': 0.9417074175091192, 'speedup_best': 0.9922946115421404, 'xsmm_local_avg': 20.6923125, 'xsmm_local_best': 18.818, 'xsmm_upstream_avg': 19.486104166666667, 'xsmm_upstream_best': 18.673}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m6.txt', 'speedup_avg': 0.9773209046140677, 'speedup_best': 0.9764544263761542, 'xsmm_local_avg': 32.029312499999996, 'xsmm_local_best': 31.301, 'xsmm_upstream_avg': 31.302916666666665, 'xsmm_upstream_best': 30.564}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m132.txt', 'speedup_avg': 0.9244854265759698, 'speedup_best': 0.9318221815493999, 'xsmm_local_avg': 29.328500000000002, 'xsmm_local_best': 28.411, 'xsmm_upstream_avg': 27.11377083333333, 'xsmm_upstream_best': 26.474}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre-lobatto/m460.txt', 'speedup_avg': 1.0404387124312464, 'speedup_best': 1.0383328812946389, 'xsmm_local_avg': 22.256416666666667, 'xsmm_local_best': 22.122, 'xsmm_upstream_avg': 23.1564375, 'xsmm_upstream_best': 22.97}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'example_mats_med/hex/p2/gauss-legendre/m0.txt', 'speedup_avg': 1.0285733509197983, 'speedup_best': 1.025068954949433, 'xsmm_local_avg': 16.410979166666667, 'xsmm_local_best': 16.315, 'xsmm_upstream_avg': 16.879895833333332, 'xsmm_upstream_best': 16.724}
